DocNr,%
28,0.14431539
72,0.40666157
157,0.13684906
181,0.20677048
211,0.31465468
240,0.12908643
374,0.13653311
428,0.17437483
431,0.17814662
435,0.16627905
437,0.113088794
440,0.27992743
441,0.325595
442,0.17371078
444,0.15817496
445,0.42610934
448,0.25693804
450,0.20789638
455,0.20820813
459,0.23620388
460,0.2672049
462,0.38230467
464,0.1346576
465,0.11041948
471,0.16741608
472,0.14809722
473,0.26813647
474,0.12314967
478,0.11549777
479,0.19292983
482,0.39884514
483,0.11912622
484,0.16610035
485,0.19895375
486,0.13553342
488,0.10888302
492,0.28260818
493,0.5993026
494,0.2344837
498,0.30886865
502,0.4575552
503,0.22874105
504,0.39372188
506,0.2810122
507,0.73334163
508,0.19145736
509,0.7908853
510,0.25185764
511,0.53577906
512,0.83867353
513,0.71189815
514,0.6250289
515,0.3291152
516,0.86618125
517,0.8412335
519,0.20430395
520,0.37695053
521,0.25519
525,0.19322848
526,0.23778842
528,0.27571014
529,0.10816861
531,0.6426575
533,0.56291574
534,0.10376464
536,0.16570587
537,0.5913564
538,0.52157956
539,0.31489724
543,0.5740712
545,0.19912748
546,0.2680086
551,0.39782116
553,0.17030428
554,0.5589226
556,0.2081979
557,0.100981176
559,0.2125688
567,0.44644174
568,0.2869198
576,0.41795996
608,0.4523245
609,0.4005129
636,0.18459989
637,0.18460903
651,0.47830242
704,0.23993216
705,0.44592488
708,0.12881951
709,0.31243327
711,0.4985021
718,0.2264008
720,0.36356634
723,0.7081098
724,0.3517916
725,0.4826554
726,0.6127082
728,0.6218584
729,0.207461
730,0.6120807
733,0.5980732
736,0.1450324
738,0.29576313
740,0.1145313
745,0.63544375
746,0.6244223
750,0.1615067
751,0.11756849
752,0.20200346
753,0.17228071
754,0.10692099
755,0.31869212
757,0.24103545
760,0.4434441
762,0.13893987
763,0.10813369
764,0.49207577
765,0.24139033
766,0.3139818
767,0.12218648
768,0.14162105
770,0.1715628
771,0.17056799
774,0.28263065
775,0.3475603
776,0.19556452
778,0.39639294
779,0.16983885
780,0.118304
781,0.38021055
784,0.17322116
789,0.107922964
790,0.30531123
791,0.29664612
792,0.10677128
793,0.27908176
794,0.23857684
795,0.49464974
796,0.3045186
797,0.4466831
798,0.47671032
801,0.4735252
803,0.2321347
804,0.26329052
806,0.35176143
810,0.27794597
811,0.6444551
815,0.33941373
817,0.26758233
821,0.16808122
823,0.20537983
824,0.26172107
825,0.2007149
826,0.2471562
827,0.26263124
828,0.14195557
829,0.20070788
830,0.17123502
832,0.13161364
835,0.20069276
837,0.123625115
838,0.11808208
840,0.19011097
842,0.1084637
849,0.14419408
851,0.20719606
853,0.17446905
855,0.14256443
859,0.5022932
861,0.20400497
862,0.13522735
863,0.2519516
864,0.19534153
866,0.13628943
867,0.13685212
868,0.31397372
870,0.13810977
871,0.16273561
874,0.10269264
877,0.119170085
878,0.30680415
880,0.25755563
882,0.24650934
883,0.32510975
885,0.6043733
886,0.22708882
888,0.12816325
889,0.5301324
892,0.1583528
896,0.12313539
897,0.14237112
903,0.214711
905,0.12791148
906,0.18761964
910,0.11817305
913,0.14081828
915,0.32673344
916,0.2570798
917,0.17133677
919,0.12499508
920,0.17084119
923,0.17705818
924,0.19143212
926,0.12734117
928,0.3240382
929,0.13377744
932,0.5898009
933,0.64341724
939,0.3182878
940,0.7063919
945,0.19142154
947,0.1390053
948,0.1096302
949,0.1647103
950,0.16470969
951,0.108641766
952,0.16625217
953,0.4587345
958,0.27001247
959,0.11566847
960,0.13100477
961,0.17395087
999,0.14559111
1166,0.13733102
1186,0.22103536
1207,0.26111707
1248,0.15310003
1259,0.13164972
1269,0.12444748
1271,0.32800537
1375,0.103884846
1380,0.17258298
1414,0.20745185
1464,0.139619
1590,0.17760706
1621,0.12216553
1631,0.18581042
1642,0.22616947
1643,0.34959924
1645,0.12106309
1648,0.10386399
1658,0.12847011
1659,0.41085878
1661,0.15660022
1666,0.1436928
1667,0.13168123
1677,0.13856158
1684,0.144839
1686,0.13239391
1700,0.15477565
1707,0.14437246
1710,0.4252434
1713,0.13883191
1714,0.11002926
1715,0.17847219
1716,0.17277595
1722,0.115699455
1727,0.23668298
1728,0.43082425
1731,0.1290448
1732,0.18269657
1735,0.499898
1738,0.15415406
1743,0.15195745
1749,0.26443893
1750,0.16199052
1752,0.15827692
1753,0.23394172
1755,0.11500989
1756,0.59858185
1757,0.601509
1758,0.25533763
1764,0.5196732
1765,0.118224025
1772,0.2672305
1774,0.20517142
1778,0.60343474
1779,0.6934747
1780,0.23305322
1782,0.24395789
1783,0.33690402
1784,0.13310604
1785,0.13779365
1786,0.4373662
1798,0.14505279
1801,0.15545055
1802,0.3104136
1804,0.21378602
1806,0.19099338
1807,0.1106728
1808,0.15590084
1810,0.11067262
1815,0.31550702
1818,0.2542702
1824,0.55198264
1827,0.49283272
1831,0.22595699
1834,0.5477225
1838,0.24393278
1841,0.4299384
1842,0.11481261
1844,0.19035733
1845,0.25554916
1848,0.4907518
1849,0.6151584
1851,0.42965543
1852,0.4295187
1854,0.136689
1858,0.16317622
1859,0.21836865
1867,0.23540717
1868,0.12811093
1869,0.21559352
1872,0.12346634
1877,0.3376569
1878,0.10041091
1879,0.713337
1881,0.13911752
1882,0.37503725
1884,0.2529944
1885,0.33134714
1886,0.18619071
1887,0.30417788
1888,0.34889963
1889,0.34889627
1892,0.1415997
