DocNr,%
47,0.101511106
64,0.27873498
279,0.6444764
344,0.5498133
398,0.3721437
399,0.15691787
592,0.18385735
594,0.29181495
763,0.11157374
962,0.105736576
969,0.55146235
1005,0.12390756
1022,0.32459867
1043,0.43211234
1052,0.24446402
1113,0.3536141
1145,0.123058535
1146,0.123023994
1336,0.103608645
1443,0.1097059
1453,0.2909125
1550,0.11689715
1565,0.14788704
1697,0.1895583
2254,0.1573093
2404,0.16783205
2698,0.13060255
2854,0.5472957
2859,0.28670388
2861,0.54729885
3066,0.10381773
3111,0.18023042
3128,0.16851011
3177,0.100112304
3342,0.19727656
3764,0.13049728
3889,0.10445497
3906,0.110389546
3914,0.11908835
3937,0.14705083
3959,0.106047586
4324,0.21415462
4386,0.25549036
4393,0.2835012
4622,0.11196531
4650,0.18599539
4656,0.29193324
4724,0.12560962
4783,0.12351052
4971,0.11811108
5535,0.19271377
6039,0.10156161
6297,0.1645835
6301,0.16357583
6915,0.20112188
6918,0.29898235
7038,0.77766734
7067,0.5677869
7128,0.1426703
7146,0.15297557
7152,0.1429504
7314,0.2942225
7411,0.1652722
7437,0.1587858
7497,0.105427
7501,0.1394635
7534,0.13495404
7693,0.12859944
7877,0.2185606
8150,0.11891771
8485,0.2000619
8486,0.1427902
8492,0.1967074
8494,0.27087584
8500,0.23132876
8503,0.16150334
8584,0.103751786
8656,0.1346824
8720,0.11718108
8731,0.20980662
8734,0.27982298
8746,0.30025917
8762,0.257028
8787,0.26166928
8798,0.13446444
8906,0.10229972
8932,0.10937029
8972,0.116978884
8983,0.3017785
8992,0.2790885
9005,0.43637615
9012,0.20912527
9063,0.18818758
