DocNr,%
20,0.13912874
44,0.19724526
131,0.8595503
136,0.86673015
170,0.38479462
239,0.2509018
244,0.25354716
268,0.24335173
293,0.190713
408,0.21701539
759,0.108315796
792,0.11633855
1045,0.1422005
1121,0.21513718
1288,0.21960507
1303,0.21819514
1369,0.12967822
1376,0.12828249
1402,0.107739374
1524,0.10224138
1530,0.17425907
1611,0.10140179
1917,0.13216127
1980,0.13206616
2080,0.12382258
2183,0.25835666
2193,0.12469527
2358,0.11516906
2401,0.12069997
2416,0.47857112
2583,0.11035132
2600,0.29334545
2661,0.32088783
2676,0.32171115
2815,0.21868728
3092,0.13646923
3115,0.4387746
3130,0.26807162
3140,0.3985357
3158,0.19745053
3170,0.40000528
3200,0.38851866
3206,0.38709345
3232,0.29460478
3251,0.15185812
3297,0.37105852
3312,0.11151737
3314,0.43542877
3497,0.10855842
3592,0.454871
3615,0.25611404
3618,0.19024546
3701,0.15008341
3808,0.10346564
3941,0.123879075
3944,0.12605596
3997,0.111682296
4083,0.26569244
4084,0.44856232
4105,0.11434086
4336,0.11516105
4661,0.2546877
4746,0.2737934
4753,0.27397293
4801,0.21612324
4830,0.10251095
4996,0.11294761
5014,0.22616054
5037,0.33516037
5255,0.107325196
5322,0.26981333
5636,0.20032015
5644,0.4744863
5682,0.49774456
5708,0.21004824
5712,0.37954178
5731,0.17279422
5744,0.16583385
5769,0.10368542
5889,0.17213976
5957,0.10022915
6106,0.14225206
6207,0.10236842
6253,0.1174856
6345,0.105346836
6388,0.36461586
6428,0.10426843
6518,0.33971193
6603,0.17771482
6733,0.27031305
6739,0.44686115
7008,0.32162753
7078,0.21846727
7079,0.16002646
7141,0.14842705
7189,0.24728517
7248,0.14780234
7338,0.10328174
7451,0.5520827
7459,0.37981674
7474,0.49272957
7580,0.2519626
7612,0.2025372
7614,0.1343986
7678,0.35592473
7683,0.3272799
7774,0.1707991
7792,0.36911595
7793,0.23066425
7804,0.118985504
7834,0.40357998
7859,0.2715551
7875,0.23396139
7881,0.43848613
7885,0.26879835
7926,0.10459778
7946,0.10944242
7947,0.11309115
8040,0.24322613
8096,0.24474369
8153,0.11788004
8242,0.1823866
8321,0.12975614
8607,0.1094105
8648,0.14839397
8978,0.105743244
