DocNr,%
4,0.3558101
54,0.11696799
55,0.14228088
322,0.17667837
435,0.40309975
436,0.14873642
592,0.1077546
626,0.24433967
778,0.107663676
857,0.10003731
945,0.13969682
1015,0.11434642
1021,0.12539177
1022,0.18654099
1052,0.16078621
1066,0.1394795
1073,0.13857763
1080,0.13787766
1082,0.24830924
1089,0.20292407
1314,0.14549366
1335,0.25749424
1374,0.88781583
1472,0.12768212
1483,0.18093988
1485,0.18451828
1506,0.18568087
1507,0.12893394
1512,0.1081184
1592,0.11376679
1692,0.14049183
1782,0.103649735
1805,0.2017859
1943,0.1033637
2123,0.15786168
2142,0.10285655
2194,0.1018865
2195,0.104705125
2241,0.14050248
2339,0.18049076
2350,0.11238124
2400,0.12838256
2404,0.1739942
2415,0.29340652
2429,0.15932013
2448,0.21285667
2527,0.12275512
2638,0.21514095
2738,0.16784616
2895,0.11544804
3492,0.1762938
3497,0.14785233
3598,0.16605243
3661,0.28649884
3876,0.101932034
3877,0.11969254
3880,0.14778756
3883,0.118276104
3886,0.13461429
3906,0.293802
3908,0.35939807
3912,0.35428694
3914,0.1949719
3926,0.16574655
3930,0.18145604
3939,0.23673508
3942,0.26079947
3949,0.11839108
3952,0.17760378
3959,0.21681702
3960,0.17126481
3961,0.22778875
3962,0.2155837
3969,0.1276149
3975,0.2525593
3976,0.12062415
3977,0.25616604
3979,0.18458205
3980,0.21686786
3981,0.17287216
3983,0.20088306
3989,0.18882187
3992,0.16060361
4008,0.1647877
4010,0.23768386
4015,0.2262504
4018,0.40727684
4020,0.13440712
4029,0.42610952
4036,0.15454748
4039,0.30902305
4060,0.19394419
4075,0.10151807
4077,0.17986038
4216,0.12213709
4235,0.153042
4237,0.15316746
4303,0.10432459
4673,0.18046947
4786,0.23299989
4964,0.10792074
4965,0.1455735
4967,0.1461819
4987,0.28039643
5000,0.14962225
5189,0.17156379
5282,0.122779876
5301,0.17069834
5302,0.14686553
5305,0.13038547
5315,0.12768142
5338,0.17287138
5358,0.14487268
5364,0.11617465
5374,0.15031248
5381,0.11806705
5394,0.13142364
5941,0.15605623
7128,0.23143862
8178,0.11032557
8462,0.16569975
8622,0.17449118
8632,0.15917437
8634,0.21267569
