DocNr,%
139,0.3711417
161,0.6508625
277,0.15637311
284,0.17579113
292,0.13381392
332,0.33867353
333,0.13209279
361,0.16490652
372,0.5235777
393,0.18376012
432,0.100419216
510,0.16072085
513,0.12437557
519,0.10318906
888,0.29646468
975,0.20114993
1065,0.29134917
1267,0.38739395
1338,0.14546408
1384,0.10578208
1464,0.14172058
1537,0.22928175
1555,0.19624744
1558,0.15491782
1561,0.21344692
1563,0.15493858
1576,0.21486174
1593,0.10337553
1606,0.10660926
1696,0.24336545
1792,0.1534226
1801,0.23624052
1827,0.11421572
1942,0.11968595
2057,0.12282257
2100,0.2020145
2159,0.1435703
2160,0.14802423
2162,0.1324084
2176,0.2427389
2211,0.17423676
2215,0.14948094
2283,0.21369933
2334,0.21387304
2583,0.2716378
2640,0.17059824
2658,0.1941252
2659,0.110611044
2662,0.22983012
2663,0.10189316
2664,0.15447064
2669,0.19648866
2671,0.249035
2674,0.19648735
2675,0.10398982
2677,0.103983335
2684,0.1950406
2693,0.28297883
2695,0.1675928
2700,0.10541118
2709,0.12588587
2712,0.23997511
2716,0.22372791
2720,0.15714106
2736,0.15178631
2744,0.1057346
2748,0.26280588
2749,0.1662648
2750,0.20998754
2756,0.24709173
2761,0.12931587
2764,0.22251903
2769,0.11099735
2774,0.11386136
2776,0.13825548
2789,0.19022895
2799,0.16919777
2820,0.36924145
2823,0.16412918
2832,0.11581665
2837,0.14599143
2839,0.21971379
2841,0.22148101
2850,0.2660594
2852,0.12519202
2855,0.10039054
2858,0.13304265
2873,0.20335415
2881,0.16210294
2882,0.33433336
2885,0.32186306
2889,0.13595736
2901,0.1648615
2905,0.16487357
2915,0.20693672
2918,0.33887511
2943,0.19307272
2951,0.285869
2956,0.17859389
2961,0.16949874
2972,0.16985013
2977,0.10563692
2988,0.12906969
2996,0.1268782
2997,0.17718777
3000,0.107414074
3008,0.18582407
3015,0.12596992
3017,0.105180815
3020,0.2517733
3021,0.1515419
3024,0.2552322
3032,0.12557402
3035,0.113968745
3047,0.25530827
3048,0.16308677
3236,0.29741508
3294,0.24458915
3310,0.28143066
3351,0.27584285
3367,0.1268104
3370,0.24846755
3403,0.15026504
3406,0.15026714
3407,0.15020053
3409,0.2735132
3453,0.14771591
3473,0.2922244
3475,0.2816247
3478,0.23363408
3482,0.15935527
3514,0.10455298
3520,0.15929578
3528,0.17068852
3591,0.10126834
3606,0.12519184
3611,0.12226629
3613,0.10001506
3623,0.10606424
3739,0.11243665
3743,0.11733899
3744,0.11743015
3765,0.46754897
3772,0.17527933
3775,0.1520744
3795,0.2251506
3834,0.12842683
3862,0.103847705
3891,0.16191994
3892,0.16026278
3971,0.4462154
4117,0.17858124
4124,0.10063621
4131,0.20672138
4134,0.20672376
4200,0.27623653
4201,0.29607898
4208,0.3554573
4218,0.28117213
4231,0.42902076
4234,0.43022734
4246,0.36631918
4304,0.2673119
4332,0.17738801
4336,0.3889454
4340,0.20001677
4341,0.20051348
4419,0.2004814
4423,0.1542083
4433,0.12869102
4466,0.28121096
4511,0.26264742
4517,0.25320745
4518,0.18371862
4522,0.13303141
4550,0.27452487
4574,0.10195285
4609,0.2612309
4680,0.15226923
4735,0.11178128
4933,0.11438846
4938,0.19855386
5018,0.15240273
5027,0.16135399
5121,0.1371075
5230,0.10768531
5234,0.10778632
5348,0.31634417
5354,0.31635326
5361,0.35421
5365,0.1722198
5765,0.3283938
5772,0.114763565
6076,0.17784084
6523,0.116217166
6537,0.10812295
7577,0.15863056
7587,0.16448085
7743,0.18117626
7776,0.1547192
7778,0.24855433
8241,0.18535838
8424,0.11684004
8543,0.28090945
8647,0.17153554
8654,0.16415848
8693,0.10209696
8696,0.20280433
8697,0.1442719
8701,0.32757154
8750,0.107860625
8751,0.15776408
8755,0.18788652
8758,0.15309541
8763,0.107825965
8764,0.16754611
8769,0.12481588
8775,0.23516509
8776,0.16052368
8777,0.14727856
8909,0.26628867
8919,0.19523989
9026,0.1416906
9033,0.112121634
