DocNr,%
306,0.17266552
606,0.38475087
652,0.43386507
653,0.73546195
654,0.566021
655,0.55050343
659,0.5660178
820,0.21383837
822,0.21384329
973,0.10335965
1001,0.106219694
1088,0.2073227
1114,0.42333907
1116,0.39078665
1129,0.14033745
1159,0.13723007
1194,0.22492601
1293,0.220297
1357,0.19588056
1494,0.113163434
1567,0.29347727
1586,0.3554316
1971,0.12421678
2419,0.113765255
2768,0.19626632
2770,0.19630069
2790,0.32870787
2886,0.17265356
3211,0.113863565
3353,0.26410595
3376,0.22777976
3394,0.31590348
3405,0.27728003
3419,0.2420091
3455,0.3064169
3600,0.13587204
3671,0.115896374
4706,0.17995358
4725,0.19151203
5459,0.22005996
5478,0.17288427
5501,0.2965568
5509,0.231427
5523,0.16297992
5776,0.13196829
6084,0.11620948
6220,0.22782493
6386,0.21834773
6693,0.20088598
6929,0.231706
6961,0.49891064
6994,0.35249615
7141,0.12566245
7166,0.22159746
7294,0.1087891
7348,0.12449111
7614,0.14460833
8606,0.21174793
8674,0.19171828
8677,0.29161882
8681,0.16895281
8682,0.16337714
8685,0.29552943
8688,0.100543454
8689,0.14357904
8691,0.120275274
8700,0.10180896
8757,0.2952847
8884,0.4032973
9065,0.36409807
9068,0.30375487
