DocNr,%
8,0.22254406
10,0.22293389
22,0.10962973
23,0.18089443
43,0.19472152
47,0.37057742
66,0.48208663
87,0.21306574
92,0.3911558
117,0.24253944
122,0.12712999
133,0.12720712
135,0.12451961
168,0.25572056
172,0.14727095
182,0.15127434
183,0.22872527
284,0.21021546
286,0.33839455
333,0.19302715
361,0.14218214
405,0.14505984
566,0.142263
606,0.11738287
646,0.104186185
648,0.32650927
654,0.17103888
655,0.14879188
656,0.19774517
657,0.3113113
659,0.17103444
671,0.12602851
975,0.100733735
1017,0.30529281
1115,0.13535567
1123,0.1417418
1177,0.1256243
1199,0.15474565
1220,0.1339561
1246,0.10787373
1292,0.71709794
1322,0.81399775
1435,0.48904318
1455,0.21166445
1458,0.102511406
1537,0.23931846
1558,0.14834064
1563,0.18168852
1572,0.34943432
1577,0.1325959
1579,0.2635292
1583,0.11098409
1587,0.19104119
1655,0.18622725
1730,0.1323596
1732,0.17115507
1855,0.1348406
1886,0.12551259
2177,0.27177367
2320,0.106366254
2326,0.13626088
2327,0.10059738
2452,0.15137747
2496,0.1644106
2572,0.14166741
2640,0.26472265
2657,0.30243614
2662,0.20277254
2663,0.35052207
2664,0.35522592
2669,0.22804476
2674,0.22794175
2695,0.27617097
2700,0.22723421
2709,0.4299277
2711,0.255486
2716,0.16496547
2725,0.3003089
2739,0.11481104
2744,0.38349208
2749,0.38166967
2750,0.33726975
2751,0.37818146
2752,0.17725676
2753,0.17663088
2756,0.16276003
2757,0.25875795
2761,0.29297093
2762,0.19596332
2763,0.27510968
2769,0.25782377
2774,0.27647686
2776,0.28636396
2789,0.27373233
2790,0.36653885
2793,0.11110743
2799,0.26621762
2822,0.30086872
2836,0.19988275
2850,0.17903532
2855,0.22914964
2858,0.23341902
2873,0.12495202
2881,0.15022561
2886,0.22415586
2897,0.11159759
2918,0.25240725
2920,0.31453073
2985,0.15975407
2993,0.10507134
2995,0.10446604
2996,0.23298243
3166,0.3533946
3345,0.1822009
3353,0.29647362
3376,0.28443515
3384,0.12616761
3392,0.35927248
3394,0.18621755
3404,0.124085456
3405,0.306469
3419,0.31410325
3451,0.11329757
3455,0.31298393
3545,0.11397041
3641,0.11030792
3726,0.1307006
3739,0.14990081
3742,0.4989558
3750,0.1624023
3770,0.15594804
3772,0.29203466
3780,0.1137097
3792,0.15090881
3844,0.1381871
3971,0.12277726
3988,0.13780004
4116,0.35775948
4123,0.24177186
4136,0.33646372
4152,0.19199488
4153,0.19390568
4161,0.45459536
4167,0.18710093
4221,0.16805592
4268,0.19320385
4270,0.32920465
4295,0.10533175
4317,0.28998768
4341,0.14784305
4347,0.10034544
4358,0.13286841
4364,0.14845942
4371,0.14508031
4373,0.122654006
4375,0.11391082
4386,0.11691198
4393,0.12839733
4409,0.21112208
4419,0.14782497
4423,0.18106912
4455,0.10862271
4550,0.13841541
4567,0.11593825
4589,0.1046836
4640,0.25914115
4674,0.11922556
4680,0.38637143
4725,0.254954
4800,0.15474112
4843,0.18764576
4857,0.113995
4863,0.26677644
4879,0.15300304
4909,0.109394856
5318,0.13711363
5383,0.17006303
5445,0.16290997
5457,0.24150372
5459,0.24119014
5478,0.17368524
5497,0.15081505
5501,0.23509067
5504,0.4061237
5509,0.28593302
5513,0.28001398
5516,0.1361499
5523,0.3080607
5556,0.15475044
5587,0.19820285
5638,0.2083245
5640,0.111057945
5756,0.100763336
5776,0.3978867
5792,0.12111115
5807,0.167393
5856,0.14872974
5885,0.4306666
5895,0.1639891
5901,0.36965144
5903,0.18420176
5907,0.2138863
5935,0.17725694
5954,0.45187348
5956,0.36824268
5963,0.1805569
5972,0.12547861
5974,0.1320841
5995,0.21147671
6003,0.15167597
6039,0.12314808
6046,0.15671186
6053,0.38470325
6076,0.108224615
6077,0.23593864
6099,0.10144443
6104,0.13284379
6116,0.11469327
6156,0.1667146
6166,0.102003805
6220,0.3268154
6230,0.13877778
6232,0.17900126
6251,0.20618711
6282,0.15353522
6286,0.10389955
6298,0.29826736
6301,0.114243746
6330,0.11070549
6335,0.2273356
6386,0.21134844
6409,0.15096278
6429,0.12543717
6444,0.1510543
6447,0.29465374
6569,0.17666365
6600,0.15510304
6619,0.1212026
6654,0.3261408
6693,0.25269902
6694,0.19594923
6698,0.16063572
6704,0.13633297
6711,0.11758871
6826,0.19551727
6915,0.10835458
6930,0.2026351
6986,0.10311775
6994,0.21970186
7084,0.21138252
7090,0.29288286
7141,0.12809929
7153,0.23580632
7162,0.21529752
7169,0.11806291
7194,0.46063069
7200,0.6514266
7260,0.1348765
7265,0.10502243
7276,0.35428375
7294,0.29414523
7301,0.24790631
7309,0.2117621
7348,0.47951618
7355,0.4403673
7380,0.23665309
7390,0.17904878
7398,0.18083306
7405,0.18267608
7412,0.18711948
7418,0.19068119
7424,0.29897308
7425,0.17240149
7429,0.26019704
7430,0.39338076
7437,0.10440732
7442,0.14730568
7447,0.39698184
7448,0.28139815
7449,0.26877996
7457,0.20658936
7490,0.17050983
7491,0.1262552
7499,0.21535388
7511,0.24367765
7518,0.2746396
7522,0.30295464
7532,0.47940937
7534,0.13848802
7543,0.48476493
7547,0.17571959
7548,0.20747219
7568,0.20552477
7569,0.13144995
7586,0.124490395
7589,0.15024452
7598,0.24118839
7640,0.3647198
7682,0.2940796
7695,0.22009584
7698,0.17845653
7700,0.17560288
7713,0.3262733
7714,0.13459207
7716,0.19388203
7724,0.11438621
7727,0.25430426
7733,0.35952947
7736,0.19176392
7743,0.35471484
7747,0.42510068
7795,0.15432285
7811,0.1808863
7867,0.35849863
7894,0.16563988
7899,0.1306018
7904,0.1996854
7923,0.10839046
7924,0.17860985
7933,0.1335439
7936,0.14913458
8038,0.1487418
8102,0.41906723
8132,0.272674
8133,0.21870261
8142,0.27268007
8146,0.21878788
8165,0.24377051
8172,0.10810331
8191,0.23947507
8201,0.3329974
8204,0.11377645
8241,0.15315759
8337,0.26706514
8345,0.3757172
8350,0.16300772
8351,0.14003383
8425,0.16434245
8460,0.23643595
8475,0.22346485
8477,0.26921704
8488,0.29648182
8501,0.25140947
8503,0.12674646
8516,0.17625017
8525,0.15278745
8527,0.1352316
8532,0.1487846
8534,0.25987917
8545,0.13089874
8547,0.11504754
8548,0.38467243
8551,0.28301004
8557,0.20089278
8558,0.10639013
8569,0.11661736
8571,0.13732539
8572,0.12128702
8576,0.18753193
8580,0.104427606
8589,0.33319765
8590,0.19712165
8592,0.1728733
8595,0.2615832
8596,0.21800442
8597,0.19432428
8598,0.1085265
8599,0.13573791
8601,0.101133496
8602,0.15367593
8640,0.13702184
8647,0.16536702
8649,0.18087141
8651,0.1405019
8654,0.2406681
8674,0.122160785
8677,0.28415877
8678,0.10882167
8681,0.28062233
8682,0.29574677
8685,0.19382854
8689,0.20074481
8693,0.24479075
8694,0.15220314
8695,0.105298504
8700,0.23091425
8704,0.18853812
8716,0.17188635
8730,0.26602456
8735,0.13155665
8745,0.2837479
8751,0.35996482
8756,0.15948841
8757,0.3532557
8758,0.120812766
8760,0.18951009
8763,0.2406751
8764,0.31777146
8765,0.24078806
8766,0.1448571
8769,0.3140154
8780,0.29942113
8786,0.10139067
8788,0.12615073
8796,0.3050963
8800,0.11944252
8803,0.1613087
8809,0.13102977
8813,0.11787651
8816,0.110142455
8837,0.13117343
8884,0.19479254
8911,0.25775012
8921,0.15534398
8924,0.80554557
8925,0.101156935
8928,0.21644586
8939,0.26058617
8954,0.14622882
8957,0.17974827
8960,0.7752231
8965,0.16692185
8973,0.13072544
8980,0.12002896
8982,0.13524155
9007,0.10523928
9022,0.1057947
9061,0.26049805
9063,0.1100903
9068,0.1787742
9073,0.1378049
9079,0.14806819
9087,0.13750573
9094,0.11372585
9097,0.13552803
9099,0.26348078
9103,0.13482656
9105,0.10158854
9108,0.24437523
9110,0.116500884
9113,0.1107938
9120,0.13776712
9124,0.17452246
9125,0.13461363
9133,0.33563763
