Dokument-ID,Datum,Quelle,Titel
135,16.07.2020,"sueddeutsche, DPA","Medien. Hongkong sperrt ""New-York-Times""-Journalisten aus"
156,21.07.2020,"sueddeutsche, DPA",Krankheiten - Essen. Antikörper gegen Coronaviren sorgen vermutlich für Immunität
162,21.07.2020,"sueddeutsche, DPA",Krankheiten. Antikörper bieten vermutlich längerfristig Corona-Immunität
166,21.07.2020,"sueddeutsche, DPA",Gesundheit. Antikörper bieten vermutlich längerfristig Immunität
172,21.07.2020,"sueddeutsche, DPA",Gesundheit. Britischer Corona-Impfstoff könnte zweifach wirken
183,22.07.2020,"sueddeutsche, DPA",Gesundheit. Schon mehr als 15 Millionen Corona-Infektionen weltweit
184,22.07.2020,"sueddeutsche, DPA",Diplomatie. USA ordnen Schließung des chinesischen Konsulats in Houston
188,23.07.2020,"sueddeutsche, DPA",Diplomatie. Trump hält Option weiterer Konsulatsschließungen offen
243,22.07.2021,"sueddeutsche, DPA",Wissenschaft. China lehnt WHO-Pläne für Laborinspektionen ab
278,15.07.2021,"sueddeutsche, DPA",Gesundheit. Corona-Impfungen: Deutschland setzt auf mehr Tempo
430,30.01.2020,"sueddeutsche, DPA",Hochschulen - Jena. Lungenkrankheit in China beeinträchtigt Studentenaustausch
431,30.01.2020,"sueddeutsche, DPA",Gesundheit. Spahn: Corona-Rückholaktion für Deutsche ist freiwillig
432,30.01.2020,"sueddeutsche, DPA",Krankheiten - Frankfurt am Main. Deutscher: Werden am Samstag aus Wuhan ausgeflogen
434,30.01.2020,"sueddeutsche, DPA",Tischtennis. Chinas Tischtennis-Stars vor Deutschland-Reise untersucht
439,30.01.2020,"sueddeutsche, DPA",Gesundheit - Frankfurt am Main. Quarantäne nach Evakuierungsflug nicht in Frankfurt
440,30.01.2020,"sueddeutsche, DPA",Gesundheit - Frankfurt am Main. Spahn: Corona-Rückholaktion für Deutsche ist freiwillig
441,30.01.2020,"sueddeutsche, DPA",Krankheiten - Frankfurt am Main. Deutsche sollen am Samstag aus Wuhan ausgeflogen werden
444,30.01.2020,"sueddeutsche, DPA",Krankheiten - München. Bayerns Ärzte: auf weitere Coronavirus-Fälle vorbereiten
446,30.01.2020,"sueddeutsche, DPA",Krankheiten - Siegen. Verdacht auf Coronavirus in Unna - dritter Patient in NRW
451,30.01.2020,"sueddeutsche, DPA",Wissenschaft - Erfurt. Neues Coronavirus sorgt für erste Verdachtsfälle
457,29.01.2020,"sueddeutsche, DPA",Luftverkehr. Coronaverdachtsfall in Lufthansa-Maschine: Crew kehrt zurück
461,30.01.2020,"sueddeutsche, DPA",Wissenschaft - Stuttgart. Behörden zum Coronavirus: Eine Panik ist total unangebracht
462,29.01.2020,"sueddeutsche, DPA",Pharma - Darmstadt. Merck schränkt wegen Coronavirus China-Dienstreisen ein
464,29.01.2020,"sueddeutsche, DPA","Gesundheit. Evakuierungsflug wegen Coronavirus ""in den nächsten Tagen"""
473,28.01.2020,"sueddeutsche, DPA","Krankheiten - Frankfurt am Main. Messe ""Ambiente"": Bisher keinen Einbruch wegen Coronavirus"
474,29.01.2020,"sueddeutsche, DPA",Luftverkehr - Köln. Lufthansa streicht alle Flüge von und nach China
476,28.01.2020,"sueddeutsche, DPA",Pharma - Bad Homburg vor der Höhe. Fresenius empfiehlt Mitarbeitern in Region Wuhan Home-Office
477,28.01.2020,"sueddeutsche, DPA",Krankheiten - Duisburg. Sorgen wegen Coronavirus: Stornos und Absagen in NRW
480,28.01.2020,"sueddeutsche, DPA",Krankheiten - Kiel. Bislang in Schleswig-Holstein keine Coronavirus-Fälle
481,28.01.2020,"sueddeutsche, DPA",Krankheiten - Stuttgart. Bislang kein Nachweis des Coronavirus aus China
484,28.01.2020,"sueddeutsche, DPA",Krankheiten. Chinesen sollen jetzt auch nicht mehr ins Ausland reisen
485,28.01.2020,"sueddeutsche, DPA",Auto - Wolfsburg. Coronavirus: Volkswagen schränkt Dienstreisen nach China ein
487,28.01.2020,"sueddeutsche, DPA",Krankheiten - Hamburg. Coronavirus: Uni Hamburg untersagt Dienstreisen nach China
488,28.01.2020,"sueddeutsche, DPA",EU. EU fliegt Hunderte Europäer aus Wuhan aus
489,28.01.2020,"sueddeutsche, DPA","Krankheiten. Labortests, Isolierung, Flughäfen: So reagiert Deutschland"
