title,author,date_published,url,article_text,source
Schifffahrt - Rechlin. Aus für Traditionsschiffbau Rechlin im März geplant,no_author,2021-01-30 19:02:03,https://www.sueddeutsche.de/wirtschaft/schifffahrt-rechlin-aus-fuer-traditionsschiffbau-rechlin-im-maerz-geplant-dpa.urn-newsml-dpa-com-20090101-210130-99-236970,"Rechlin (dpa) - Der Schiffbauer Fassmer GmbH & Co. KG (Berne) schließt seinen ostdeutschen Traditionsschiffbaustandort Rechlin an der Müritz ( ). Wie ein Sprecher der Gemeinde am Samstag erklärte, wird die Fassmer-Tochterfirma überraschend schon Ende März ihre Tore schließen. Den noch 30 Mitarbeitern sei dies bereits mitgeteilt worden. Als Begründung sei unter anderem der wirtschaftliche Druck durch die Pandemie genannt worden. Bei der Fassmer-Gruppe war zunächst niemand zu einer Stellungnahme bereit. Zuvor hatte die Nachrichtenplattform ""Wir sind Müritzer"" über die geplante Schließung berichtet. Rechlin war über Jahrzehnte dafür bekannt, dass dort unter anderem Frei-Fall-Rettungsboote für große Schiffe gefertigt wurden. Diesen Teil der damaligen Werft hatte Fassmer nach 1990 übernommen. Zuletzt waren in Rechlin unter anderem komplizierte Schweißteile und Anlagen für Megayachten, Kreuzfahrtschiffe sowie Zubehör und Landeplattformen für Hubschrauber auf großen Windkraftanlagen produziert wurden. Noch vor einem Jahr hatte Geschäftsführer Harald Fassmer von einer ""stabilen Auftragslage"" gesprochen. Zur Fassmer-Gruppe mit Hauptsitz in   gehörten bisher 1600 Mitarbeiter an mehreren Standorten, darunter in Polen und China. Sie beliefern auch Hersteller von Kreuzfahrtschiffen. Der Jahresumsatz wurde mit 150 bis 200 Millionen Euro angegeben. © dpa-infocom, dpa:210130-99-236970/2 Mecklenburgische Seenplatte Niedersachsen","sueddeutsche, DPA"
Konflikte. USA schicken Flugzeugträger ins Südchinesische Meer,no_author,2021-01-25 16:00:53,https://www.sueddeutsche.de/politik/konflikte-usa-schicken-flugzeugtraeger-ins-suedchinesische-meer-dpa.urn-newsml-dpa-com-20090101-210125-99-159902,"Peking (dpa) - Schon in den ersten Tagen der Amtszeit des neuen US-Präsidenten Joe Biden wachsen die Spannungen zwischen   und den USA über Taiwan und das Südchinesische Meer. Der chinesische Außenamtssprecher Zhao Lijian kritisierte am Montag vor der Presse in Peking die Entsendung des US-Flugzeugträgers ""USS Theodore Roosevelt"" ins Südchinesische Meer als ""Demonstration der Stärke"", die Frieden und Stabilität in der Region bedrohe. Auch wies der Sprecher die amerikanische Forderung an Peking zurück, seinen militärischen, wirtschaftlichen und diplomatischen Druck auf   einzustellen. Zhao Lijian unterstrich die chinesische Position, dass die Insel ein untrennbarer Teil der Volksrepublik sei. Peking sei entschieden gegen Bestrebungen für eine Unabhängigkeit oder eine Einmischung externer Kräfte. Peking sei durchaus zum Dialog bereit - aber nur auf der Grundlage seiner Ein-China-Doktrin. Die Forderung der  , die ""Einschüchterung"" Taiwans einzustellen, folgte auf militärische Muskelspiele Pekings. Acht chinesische Bomber und vier Kampfflugzeuge waren zuvor in Taiwans Identifikationszone zur Luftverteidigung (ADIZ) eingedrungen und hatten die Luftabwehr getestet, wie Taiwans Streitkräfte am Samstag mitgeteilt hatten. Es war die bisher größte Militäraktion dieser Art, die im vergangenen Jahr schon stetig zugenommen hatten. Peking ist verärgert darüber, dass die Vertreterin Taiwans in Washington erstmals offiziell zur Amtseinführung eines Präsidenten eingeladen worden war. Schon die vorherige US-Regierung von Donald Trump hatte ihre Beziehungen zu Taiwan aufgewertet und erstmals offizielle Kontakte erlaubt, was Peking entschieden ablehnt, da es die demokratische gewählte Regierung in Taipeh nicht anerkennt. Der Außenamtssprecher forderte die USA auf, nicht ""die falschen Signale"" an Taiwans Unabhängigkeitskräfte zu senden, um nicht den Beziehungen zwischen China und den USA zu schaden. Ungeachtet der Drohungen aus Peking sieht sich das freiheitliche Taiwan als unabhängiger Staat und sucht diplomatische Anerkennung in der Welt, während es vom mächtigeren China aber isoliert wird. Den Einsatz der ""USS Theodore Roosevelt"" im Südchinesischen Meer begründete die US-Marine damit, dass die Flugzeugträgergruppe für die ""Freiheit der Navigation"" in dem Seegebiet eintreten wolle, durch das zwei Drittel des Welthandels transportiert werden. China beansprucht einen Großteil des Meeresgebiets zwischen China, Vietnam, Malaysia und den Philippinen. Der internationale Schiedsgerichtshof in Den Haag wies 2016 die Ansprüche Chinas zurück, was Peking ignoriert. Außenamtssprecher Zhao Lijian forderte die neue US-Regierung von US-Präsident Biden auf, keinen Streit anzuzetteln. Peking hoffe, dass beide Seiten kooperieren und mit ihren Differenzen umgehen könnten - ""im Geiste der Nicht-Konfrontation"". © dpa-infocom, dpa:210125-99-159902/3 China Taiwan USA","sueddeutsche, DPA"
Agrar - Magdeburg. Angeschwemmtes Wildschwein negativ auf Schweinepest getestet,no_author,2021-01-25 17:44:27,https://www.sueddeutsche.de/wirtschaft/agrar-magdeburg-angeschwemmtes-wildschwein-negativ-auf-schweinepest-getestet-dpa.urn-newsml-dpa-com-20090101-210125-99-165700," (dpa/sa) - Ein in Magdeburg angeschwemmtes Wildschwein ist nicht mit der Afrikanischen Schweinepest infiziert gewesen. Der entsprechende Test des Veterinäramtes sei negativ ausgefallen, teilte eine Sprecherin des Landwirtschaftsministeriums in Magdeburg am Montag mit. Der Kadaver war am Samstag in der Nähe des Domfelsens am Elbufer entdeckt und von der Feuerwehr aus dem Fluss geholt worden. Bislang sind noch keine Fälle der Afrikanischen Schweinepest in Sachsen-Anhalt aufgetreten. Im September war die für den Menschen ungefährliche Krankheit erstmals in   nachgewiesen worden. Der Fleischpreis war daraufhin eingebrochen. Wichtige Exportländer wie China hatten deutsche Ware gesperrt. © dpa-infocom, dpa:210125-99-165700/2 Magdeburg Deutschland","sueddeutsche, DPA"
Unfälle. Neun Arbeiter tot aus chinesischer Goldmine geborgen,no_author,2021-01-25 12:26:06,https://www.sueddeutsche.de/panorama/unfaelle-neun-arbeiter-tot-aus-chinesischer-goldmine-geborgen-dpa.urn-newsml-dpa-com-20090101-210125-99-159898,"Peking (dpa) - Nach der erfolgreichen Rettung von elf Bergleuten sind neun weitere Arbeiter tot aus einer Goldmine in   geborgen worden. Wie die staatliche Nachrichtenagentur Xinhua am Montag berichtete, wurde in der Mine Qixia nahe Yantai in der Provinz Shandong damit noch ein Arbeiter vermisst. Bei der Explosion am 10. Januar waren insgesamt 22 Bergleute verschüttet worden. Ein toter Arbeiter war schon kurz nach dem Unglück gefunden worden. Zwei Wochen später hatten Rettungskräfte dann am Sonntag die elf lebenden Bergarbeiter aus einer Tiefe von 600 Metern ans Tageslicht holen können. Die Ursache für das Minenunglück blieb weiterhin unklar. Rettungskräfte hatten eine Woche nach der Explosion erste Lebenszeichen vernommen. Sie bohrten daraufhin Löcher und hörten Schläge gegen das Bohrgestänge. Am Sonntagvormittag dann holten die Retter einen ersten Minenarbeiter aus der Tiefe ans Tageslicht. Bis zum Nachmittag folgten zehn weitere Kumpel, aufgeteilt in vier Gruppen. Einer von ihnen hatte Verletzungen erlitten. Die übrigen neun seien aber in guter körperlicher und geistiger Verfassung, hieß es. Chinas Gruben gelten als die gefährlichsten der Welt. Jedes Jahr kommen Tausende Kumpel ums Leben. Schlechte Sicherheitsvorkehrungen und mangelnde Aufsicht aufgrund von Vetternwirtschaft sind häufig die Ursachen. Viele Unglücke werden auch vertuscht. Das für die Goldmine in Qixia verantwortliche Bergwerksunternehmen hatte den Behörden das Unglück laut Xinhua erst zwei Tage danach gemeldet. Zwei hohe Funktionäre, der Parteichef und der Bürgermeister von Qixia, seien von ihren Posten entbunden worden. © dpa-infocom, dpa:210125-99-159898/2 China","sueddeutsche, DPA"
Weltwirtschaft. UN-Chef warnt vor Mutation - Chinas Parteichef vor Spaltung,no_author,2021-01-25 19:35:05,https://www.sueddeutsche.de/wirtschaft/weltwirtschaft-un-chef-warnt-vor-mutation-chinas-parteichef-vor-spaltung-dpa.urn-newsml-dpa-com-20090101-210125-99-166348,"New York/Peking/Berlin (dpa) - UN-Generalsekretär António Guterres hat zur Eile bei der weltweiten Verteilung von Corona-Impfstoffen aufgerufen. ""Wenn die Industrieländer glauben, dass sie in Sicherheit sind, wenn sie ihre eigenen Leute impfen und dabei die Entwicklungsländer vernachlässigen, liegen sie falsch"", sagte Guterres in einer Videorede beim Jahrestreffen des Weltwirtschaftsforums (WEF). ""Es besteht jetzt die klare, reale Gefahr von Mutationen, die das Virus übertragbarer oder tödlicher oder resistenter gegen vorhandene Impfstoffe machen. Wir müssen schnell handeln."" Die weltweiten Produktionskapazitäten der Mittel zur Eindämmung der Covid-19-Pandemie müssten massiv ausgebaut werden und Lizenzen zur Verfügung gestellt werden, forderte Guterres weiter. Zudem müsse sichergestellt werden, dass die Impfstoffe auch in ärmeren Teilen der Erde erschwinglich sind. ""Impfstoffe müssen als globale öffentliche Güter angesehen werden"", sagte der UN-Chef und warb für eine bessere Finanzierung der internationalen Corona-Impfinitiative Covax. Der renommierte US-Corona-Experte Anthony Fauci berichtete von der schwierigen Corona-Situation in seinem Land: ""Es ist extrem problematisch, sich mit einer Krise der öffentlichen Gesundheit zu befassen, wenn sich das Land mitten in einer Spaltung befindet"", sagte der Leiter des Nationalen Instituts für Infektionskrankheiten (NIAID). ""Wenn Fragen der öffentlichen Gesundheit politisch aufgeladen werden - wenn das Tragen einer Maske ein politisches Statement ist - dann können Sie sich nicht vorstellen, wie schädlich das für eine öffentliche Gesundheitsbotschaft ist."" Chinas Staats- und Parteichef Xi Jinping sprach sich vor dem Hintergrund wachsender Spannungen zwischen seinem Land und den   oder Europa für mehr internationale Kooperation und freien Welthandel aus. Die Probleme der Welt könnten von keinem Land alleine gelöst werden, sagte Xi Jinping am Montag in einer Videorede zur Eröffnung des virtuellen Jahrestreffens des Weltwirtschaftsforums (WEF). Kleine Bündnisse zu bilden, werde die Welt nur weiter spalten. Ohne konkret auf die Vielzahl neu verhängter Sanktionen der USA gegen   einzugehen, warnte Xi Jinping eher allgemein davor, andere Länder zu bedrohen oder Sanktionen zu verhängen, eine Entkopplung der Volkswirtschaften oder Unterbrechung von Lieferketten einzuleiten. Auch dürfe Außenhandelspolitik nicht zu Lasten anderer Länder gehen. Ungeachtet der Kritik an anhaltenden Marktbarrieren in China sicherte Xi Jinping erneut zu, dass sich China weiter öffnen wolle. Es war nach 2017 der zweite Auftritt des chinesischen Präsidenten auf dem Jahrestreffen. Damals hatte Xi Jinping nach der Amtseinführung von Donald Trump das Treffen genutzt, um sich im Gegensatz zu dem damals neuen US-Präsidenten und dessen Protektionismus als Vorreiter des freien Welthandels zu präsentieren. Bundeswirtschaftsminister Peter Altmaier ging in einer Talkrunde von einem veränderten Standpunkt der USA zu offenen Märkten und Multilateralismus aus. Dies sei in den Debatten mit den USA für vier Jahre etwas sehr Umstrittenes gewesen. Mit Blick auf die neue US-Regierung unter Joe Biden sagte der CDU-Politiker: ""Jetzt sollten wir ihnen eine Chance geben, ihre Ideen nicht nur zu entwickeln, sondern auch zu implementieren."" Das traditionelle Jahrestreffen des Weltwirtschaftsforums findet wegen der Corona-Pandemie erstmals online und nicht im schweizerischen Davos statt. Bis zum Freitag werden dabei Vertreter aus Politik, Wirtschaft und Gesellschaft in Online-Runden über aktuelle Herausforderungen wie die Pandemie und den Klimawandel diskutieren. Ein tatsächliches Treffen will das Weltwirtschaftsforum in diesem Jahr aber auch noch ausrichten: Ende Mai sollen Wirtschaftslenker, Spitzenpolitiker und Gesellschaftsvertreter in Singapur zusammenkommen. © dpa-infocom, dpa:210125-99-166348/3 USA China","sueddeutsche, DPA"
Wirtschaftspolitik - München. Studie: Ende der Globalisierung wäre für Deutschland fatal,no_author,2021-01-25 13:10:40,https://www.sueddeutsche.de/bayern/wirtschaftspolitik-muenchen-studie-ende-der-globalisierung-waere-fuer-deutschland-fatal-dpa.urn-newsml-dpa-com-20090101-210125-99-161608," (dpa/lby) - Ein Ende der Globalisierung und eine mögliche Aufteilung der Welt in chinesisch und amerikanisch dominierte Blöcke würde den Wohlstand in Deutschland nach einer Studie stark gefährden. Der deutschen Wirtschaft könnten damit beträchtliche Teile ihrer Exporte verloren gehen, warnt das Forschungs- und Beratungsinstitut Prognos in der am Montag veröffentlichten Untersuchung. Hintergrund sind Sorgen unter Ökonomen und Außenpolitikern, dass die Handelskonflikte zwischen den USA und China in eine dauerhafte Konfrontation der beiden Großmächte münden könnten. Auftraggeber der Studie war die Vereinigung der bayerischen Wirtschaft (vbw). Sollte Europa sich einem US-dominierten Block anschließen, könnten damit nach der Prognos-Schätzung 22 Prozent der Exporte und 30 Prozent der Importe verloren gehen. Eine Annäherung an China und größere Distanz zu den Vereinigten Staaten würde die europäischen Exporte um geschätzt 18 Prozent schrumpfen lassen. Und sollte sich die EU als dritte Option für eine Art Blockfreiheit entscheiden und zwischen China und den USA als eigenständige Kraft auftreten, könnten geschätzt immer noch 12 Prozent der Ausfuhren verloren gehen. ""Eine Deglobalisierung wäre fatal für die hiesige Wirtschaft"", sagte Studienautor Michael Böhmer bei der Online-Veranstaltung. Die weltwirtschaftlichen Gewichte werden sich laut der Studie in den nächsten zwanzig Jahren ohnehin Richtung Ostasien verschieben. ""Endet damit die ökonomische Dominanz des Westens? Ja, sie endet ein wenig"", sagte Böhmer. Industrie-Präsident Siegfried Russwurm warnte vor einer dauerhaften Entfremdung zwischen den USA und Europa. Ein gleich großer Abstand zu den USA und China könne nicht das Ziel sein, sagte der frühere Siemens-Vorstand. Die Europäer seien den USA geschichtlich und kulturell sehr viel näher als China, sagte der BDI-Präsident. Russwurm plädierte gleichzeitig für eine starke EU, damit die europäischen Staaten gemeinsam ihre Interessen durchsetzen können. ""Wir wären gut beraten, für die EU Werbung zu machen"", sagte Russwurm zu nationalistischen Strömungen in europäischen Ländern. ""Jedes Land der EU, auch das starke  , ist ein Zwerg gegen die beiden großen Antipoden USA und China."" Die exportabhängige bayerische Wirtschaft ist ebenfalls besorgt. ""Protektionismus und Handelskriege schaden allen beteiligten Akteuren"", sagte vbw-Hauptgeschäftsführer Bertram Brossardt. © dpa-infocom, dpa:210125-99-161608/2 München Deutschland","sueddeutsche, DPA"
Fußball. Scolari und Zweitligist Cruzeiro trennen sich,no_author,2021-01-25 16:26:40,https://www.sueddeutsche.de/sport/fussball-scolari-und-zweitligist-cruzeiro-trennen-sich-dpa.urn-newsml-dpa-com-20090101-210125-99-164640,"Belo Horizonte (dpa) - Der ehemalige brasilianische Nationalcoach Luiz Felipe Scolari und der Traditionsclub Cruzeiro EC aus Belo Horizonte haben ihre Zusammenarbeit vorzeitig beendet. Die Trennung geschehe einvernehmlich, teilte der Verein am Montag auf seiner Homepage mit. Scolari hatte erst im Oktober einen Vertrag für sein zweites Engagement bei dem Club nach 2000/2001 bis Ende 2022 unterzeichnet.        Das Ziel, den Abstieg in die dritte Liga zu vermeiden, wurde zwar erreicht. Aber zurück auf die Spitzenplätze schaffte Cruzeiro, viermal brasilianischer Meister (1966, 2003, 2013, 2014) und zweimal Copa Libertadores-Sieger (1976, 1997), es nicht. Zudem war Scolari Medienberichten zufolge zunehmend unzufrieden mit finanziellen Problemen, ausstehenden Gehältern und einer unsicheren Planung des Clubs für 2021.         Der Trainer war zuvor nach einem Engagement bei Palmeiras aus São Paulo mehr als ein Jahr ohne Verein gewesen. Mit Palmeiras gewann Scolari 2018 die Meisterschaft in  . Erst ein paar Monate zuvor war er nach Brasilien zurückgekehrt. Der mittlerweile 72-Jährige führte den Rekordweltmeister 2002 mit dem 2:0-Sieg im Finale gegen Deutschland zum fünften Titel, erlitt 2014 mit dem Gastgeber jedoch auch die denkwürdige 1:7-Halbfinalpleite gegen die DFB-Auswahl - im Mineirão-Stadion, der Heimspielstätte von Cruzeiro.       Danach arbeitete er noch als Trainer bei Grêmio Porto Alegre und ging im Juni 2015 nach China zu Guangzhou Evergrande. Mit dem Club holte er bis Ende 2017 sieben Titel. © dpa-infocom, dpa:210125-99-164640/2 Brasilien","sueddeutsche, DPA"
Bergbau. Nach zwei Wochen: Elf verschüttete Bergleute gerettet,no_author,2021-01-24 23:06:34,https://www.sueddeutsche.de/wirtschaft/bergbau-nach-zwei-wochen-elf-verschuettete-bergleute-gerettet-dpa.urn-newsml-dpa-com-20090101-210124-99-147133,"Peking (dpa) - Zwei Wochen nach einer Explosion in einer Goldmine im Osten Chinas haben Rettungskräfte elf verschüttete Bergarbeiter aus einer Tiefe von 600 Metern ans Tageslicht holen können. Sie nutzten dafür den Belüftungsschaft der Mine in Qixia nahe Yantai in der Provinz Shandong, wie staatliche Medien berichteten. Auf Fotos war einer der Geretteten mit schwarzer Augenmaske als Lichtschutz zu sehen - die Hände wie zum Dank vor der Brust zusammengelegt. Rettungskräfte hatten vor der Bergung bis Sonntag Kontakt zu zehn eingeschlossenen Bergleuten aufnehmen können. Bei der Explosion am 10. Januar waren insgesamt 22 Bergleute verschüttet worden. Einer von ihnen starb laut offiziellen Angaben. Von den übrigen zehn, die sich jetzt noch in der Tiefe befinden, sei weder ihr Zustand noch ihr genauer Aufenthaltsort in der Mine bekannt, berichtete die Nachrichtenseite ""The Paper"". Die Ursache für das Minenunglück war zunächst nicht bekannt. Rettungskräfte hatten eine Woche nach der Explosion erste Lebenszeichen vernommen. Sie bohrten daraufhin Staatsmedien zufolge Löcher und hörten Schläge gegen das Bohrgestänge. Über das Loch seien Nährstofflösungen an Stahlseilen in die Tiefe herabgelassen worden. Die Retter hätten gespürt, wie von unten an den Seilen gezogen wurde. Später hätten die Verschütteten dann einen Zettel mit der Bitte um Medikamente und Verbandszeug hochschicken können. Laut der staatlichen Nachrichtenagentur Xinhua berichteten sie darin von mehreren Verletzten sowie viel Rauch und Wasser im Schacht. Am Sonntagvormittag dann holten die Retter einen ersten Minenarbeiter aus der Tiefe ans Tageslicht. Sein Zustand wurde als ""extrem erschöpft"" bezeichnet. Bis zum Nachmittag folgten zehn weitere Kumpel, aufgeteilt in vier Gruppen. Einer von ihnen hatte Verletzungen erlitten. Die übrigen neun seien aber in guter körperlicher und geistiger Verfassung, hieß es. Mehr als 600 Einsatzkräfte blieben am Sonntag mit Gerät vor Ort, um die Suchaktion nach weiteren Bergleuten fortzusetzen, schrieb Xinhua. Chinas Gruben gelten als die gefährlichsten der Welt. Jedes Jahr kommen Tausende Kumpel ums Leben. Schlechte Sicherheitsvorkehrungen und mangelnde Aufsicht aufgrund von Vetternwirtschaft sind häufig die Ursachen. Viele Unglücke werden auch vertuscht. Das für die Goldmine in Qixia verantwortliche Bergwerksunternehmen hatte den Behörden das Unglück laut Xinhua erst zwei Tage danach gemeldet. Zwei hohe Funktionäre, der Parteichef und der Bürgermeister von Qixia, seien von ihren Posten entbunden worden. © dpa-infocom, dpa:210124-99-147133/5","sueddeutsche, DPA"
Verkehr. 100 Jahre Maybach-Automobile - Luxus für gestern und heute,no_author,2021-01-26 04:11:00,https://www.sueddeutsche.de/wirtschaft/verkehr-100-jahre-maybach-automobile-luxus-fuer-gestern-und-heute-dpa.urn-newsml-dpa-com-20090101-210125-99-164612,"Stuttgart (dpa/tmn) - Das Doppel-M für Maybach-Motorenbau an der Front und an den Seiten, dazu viel Holz und Leder - so kennt man die Luxusfahrzeuge dieser Marke, die 2021 ein rundes Jubiläum feiern: Vor 100 Jahren kam der erste   W3 auf die Straßen. Auf die Premiere folgten bewegte Zeiten: Einstellung der Fahrzeugproduktion, Übernahme durch Daimler, Fusion mit anderen Marken, schließlich die Rückkehr des Namens im Jahr 2002. Seitdem baut Mercedes unter dem Namen Maybach wieder Luxusautos. Doch den Ur-Maybach kennen fast nur eingefleischte Autofans. Ein Großteil der historischen Fahrzeuge fährt selten auf Straßen, die meisten stehen bei Sammlern oder in Museen. Helmut Hofmann aus Neumarkt in der Oberpfalz schaut sich die Autos dagegen jeden Tag an. Seit mehr als 30 Jahren hat er sich der Marke verschrieben und sammelt sie. Wie hat das angefangen? Zu Lande, zu Wasser und in der Luft Mitte der 1980er Jahre wird Hofmann durch einen Freund auf Maybach aufmerksam. Ihn faszinieren die Geschichte der Konstrukteure Wilhelm und Karl Maybach und ihre Arbeit. August Wilhelm Maybach, geboren 1846, entwickelt mit Gottlieb Daimler einen der ersten Verbrennungsmotoren und später für Daimler Rennwagen und Motoren. 1909 macht Maybach sich mit Sohn Karl und Ferdinand Graf von Zeppelin selbstständig. In der Luftfahrzeug-Motorenbau GmbH entwickeln sie Diesel- und Gasmotoren für Zeppelin-Luftschiffe, ab 1918 als Maybach-Motorenbau GmbH für Lokomotiven und Autos. 1919 entsteht der Versuchswagen W1, das erste Serienauto W3 folgt 1921. Bis 1941 baut Maybach rund 1800 Auto-Exemplare, darunter ab 1929 den ersten Zwölfzylinder der Marke. 1930 startet das Modell Zeppelin ebenfalls mit zwölf Zylindern. Während des Zweiten Weltkriegs konzentriert sich Maybach dann aber auf Motoren für Panzer, Boote und Flugzeuge, danach auf Motoren für Schienenfahrzeuge und Schiffe. Helmut Hofmann sucht in den 1980er Jahren eines der noch existierenden 160 Oldtimer-Fahrzeuge und wird in Kanada fündig. Die Leidenschaft ist nun voll entfacht, und Hofmann sucht weiter: nach Fahrzeugen, Informationen und Devotionalien. Nach der Wende findet der Sammler einen weiteren Maybach, wenig später ein zweites Cabrio und einen langen Zweitürer. Die Autos parken zu Hause in seiner Garage und in einer angemieteten Halle. Ein Museum entsteht in historischen Gemäuern Als der Platz allmählich zu klein wird, spielt ihm ein glücklicher Zufall in die Hände. In der Nähe seines Wohnortes wird ein altes Industriegebäude angeboten - die ehemalige Produktionsstätte der Zweiradmarke Express. 2006 kauft es Hofmann, lässt es sanieren, schafft Platz für seine heute 20 Fahrzeuge und eine Dauerausstellung von Express-Zweirädern. 2009 eröffnet er dann das         Maybach-Museum.       ""Meine Leidenschaft möchte ich teilen. Da es bis dahin kein eigenes Maybach-Museum gab, musste ich es mir selbst bauen"", sagt Hofmann. Auf etwa 1600 Quadratmeter stehen nun seine Autos. 1960 hatte Daimler-Benz Maybach übernommen, die Marke aber erst 2002 als Maybach Manufaktur wieder aktiviert. Zwischen 2002 und 2012 entstehen die Maybach-Modelle 57 und 62 mit dem Chassis der S-Klasse W 140 und einer ähnlichen Optik des Nachfolgers W 220. Seit 2014 nennt sich die Luxusmarke Mercedes-Maybach, und jeden Monat gehen etwa 600 Maybach-S-Klasse-Fahrzeuge allein an Kunden in China, zwei Drittel aller in Sindelfingen gebauten Autos fahren inzwischen dort. Mercedes hat Ende 2020 eine neue Maybach-Version der S-Klasse vorgestellt. Optisch unterscheidet sich diese durch mehr Chrom, eine optionale zweifarbige Lackierung, eine von Hand gezogene Trennlinie, einen größeren Kühlergrill, eine markantere Motorhaube und andere Räder. An der C-Säule prangt ein beleuchtetes Maybach-Logo. Wäre das ein neues Fahrzeug für Helmut Hofmann - denn wer Maybach sammelt, fährt doch bestimmt auch im Alltag einen?! Weit gefehlt. Für weite Strecken nimmt Hofmann einen alten Porsche 911 oder einen alten Mercedes-Kombi. Am häufigsten ist er aber mit dem Fahrrad unterwegs: ""Das entspannt mich ähnlich wie die Fahrt in einem Zeppelin."" © dpa-infocom, dpa:210125-99-164612/3 Maybach","sueddeutsche, DPA"
Geschichte. Kalenderblatt 2021: 27. Januar,no_author,2021-01-26 23:55:00,https://www.sueddeutsche.de/wissen/geschichte-kalenderblatt-2021-27-januar-dpa.urn-newsml-dpa-com-20090101-210118-99-65411,"Berlin (dpa) - Das aktuelle Kalenderblatt für den 27. Januar 2021: 4. Kalenderwoche, 27. Tag des Jahres Noch 338 Tage bis zum Jahresende Sternzeichen: Wassermann Namenstag: Angela, Enrique, Julian HISTORISCHE DATEN 2020 - Aus dem bayerischen Landkreis Starnberg wird der erste Coronafall in   gemeldet. Ein 33-jähriger Mitarbeiter eines Automobilzulieferers hatte sich bei einer Kollegin aus China angesteckt. 2019 - Dänemark wird vor heimischer Kulisse in Herning erstmals Handball-Weltmeister und bezwingt Norwegen klar mit 31:22. 2018 - Schleswig-Holsteins Umweltminister Robert Habeck und die Bundestagsabgeordnete Annalena Baerbock werden in Hannover zu Vorsitzenden der Grünen gewählt. Beide gehören zum Realo-Flügel der Partei. 2013 - In der Disco ""Kiss"" im südbrasilianischen Santa Maria bricht Feuer aus. 242 Menschen sterben in einer Massenpanik. Brandursache war die pyrotechnische Show-Einlage einer Band. 2006 - Erstmals wird weltweit der Opfer des Nationalsozialismus gedacht. Mit dem internationalen ""Tag des Gedenkens an die Opfer des Holocaust"" wird an die Befreiung des Vernichtungslagers Auschwitz am 27. Januar 1945 erinnert. 1999 - Zwei Tornados der Luftwaffe stürzen nach einem Zusammenstoß über der Nordsee ab. Von den vier Besatzungsmitgliedern können nur zwei lebend geborgen werden. 1996 - Frankreich nimmt auf dem Fangataufa-Atoll im Südpazifik seinen letzten und zugleich stärksten unterirdischen Atomtest vor. 1991 - Boris Becker gewinnt die Australian Open in Melbourne und steht damit als erster Deutscher auf Platz 1 der Weltrangliste im Herren-Tennis. 1981 - Das indonesische Fährschiff ""Tamponas II"" sinkt nördlich der Insel Java (Indonesien) nach einem Großbrand an Bord. Mindestens 512 Menschen kommen ums Leben. GEBURTSTAGE 1956 - Jan Metzger (65), deutscher Medienmanager, Intendant von Radio Bremen 2009-2019 1936 - Wolfgang Böhmer (85), deutscher Politiker (CDU) und Arzt, Ministerpräsident von Sachsen-Anhalt 2002-2011 1928 - Hans Modrow (93), deutscher Politiker, Ministerpräsident der DDR 1989-1990 1901 - Willy Fritsch, deutscher Schauspieler (""Die Drei von der Tankstelle"", ""Wenn der weiße Flieder wieder blüht""), gest. 1973 1756 - Wolfgang Amadeus Mozart, österreichischer Komponist (""Die Zauberflöte""), einer der Hauptvertreter der ""Wiener Klassik"", gest. 1791 TODESTAGE 2006 - Johannes Rau, deutscher Politiker (SPD), Bundespräsident 1999-2004, Ministerpräsident von Nordrhein-Westfalen 1978-1998, geb. 1931 1986 - Lilli Palmer, deutsche Schauspielerin ( ""Teufel in Seide"", ""Frau Warrens Gewerbe"") und Schriftstellerin (Roman ""Umarmen hat seine Zeit"", Autobiografie ""Dicke Lilli - gutes Kind""), geb. 1914 © dpa-infocom, dpa:210118-99-65411/2 Deutschland","sueddeutsche, DPA"
