title,author,date_published,url,article_text,source
Auto. Chinesischer Autobauer Geely mit Gewinneinbruch,no_author,2021-03-23 10:38:58,https://www.sueddeutsche.de/wirtschaft/auto-chinesischer-autobauer-geely-mit-gewinneinbruch-dpa.urn-newsml-dpa-com-20090101-210323-99-934125,"Hangzhou (dpa) - Der chinesische Autobauer Geely hat im vergangenen Jahr infolge der Corona-Pandemie einen herben Gewinneinbruch erlitten. Das Unternehmen, das unter anderem den schwedischen Autobauer Volvo besitzt und dessen Eigentümer Li Shufu der größte Daimler-Einzelaktionär ist, verzeichnete unter dem Strich mit 5,5 Milliarden Yuan (709 Mio Euro) ein Drittel weniger Gewinn. Das teilte das Unternehmen am Dienstag in Hangzhou und Hongkong mit. Geely hat zudem offensichtlich Probleme mit dem geplanten Listing an der Shanghaier Technologiebörse Star Board. Chinas Aktienmarktbehörden hinterfragten, ob das Unternehmen für eine solche Notierung übe genügend High Tech verfüge, berichtete die Nachrichtenagentur Bloomberg unter Berufung auf mit der Angelegenheit vertraute Personen. Bisher ist Geely an der Börse in Hongkong notiert. Geely ist Chinas führender Hersteller von Autos unter einer lokalen Marke. Marktführer im Land ist Volkswagen. Eigentlich hatte Geely dem Bericht zufolge bereits im September eine Erlaubnis für das Listing erhalten, das eine höhere Bewertung einbringen könnte als eine Notierung an der Shanghaier Hauptbörse. © dpa-infocom, dpa:210323-99-934125/2","sueddeutsche, DPA"
Diplomatie. Nach Sanktionen gegen China: EU-Delegationschef einbestellt,no_author,2021-03-23 08:10:12,https://www.sueddeutsche.de/politik/diplomatie-nach-sanktionen-gegen-china-eu-delegationschef-einbestellt-dpa.urn-newsml-dpa-com-20090101-210323-99-931834,"Peking (dpa) - Nach EU-Sanktionen gegen chinesische Verantwortliche für die Unterdrückung der muslimischen Minderheit der   hat das Außenministerium in Peking den EU-Delegationschef einbestellt. Wie das Ministerium mitteilte, sei Nicolas Chapuis schon am Vortag der chinesische Protest übermittelt worden. Vizeaußenminister Qin Gang habe bei dem Gespräch darauf verwiesen, dass sich die Strafmaßnahmen auf ""Lügen und Falschinformationen stützen"". Die Sanktionen widersprächen der Realität und Vernunft, wurde Qin Gang zitiert. Die Europäische Union sei nicht qualifiziert, sich als Menschenrechtslehrer aufzuspielen.   dränge die EU, die Ernsthaftigkeit dieses Fehlers anzuerkennen, ihn zu korrigieren und die Konfrontation zu beenden, ""um den chinesisch-europäischen Beziehungen nicht mehr Schaden zuzufügen,"" hieß es weiter. Die EU hatte am Montag zum ersten Mal seit mehr als drei Jahrzehnten wieder Sanktionen gegen China wegen Verletzungen der   verhängt. Sie richten sich gegen Verantwortliche für die Verfolgung der Uiguren in der Region Xinjiang in Nordwestchina. Als Reaktion kündigte die Regierung in Peking umgehend Gegensanktionen gegen europäische Politiker, Experten und Institutionen an. In Deutschland betreffen sie den Grünen-Europaabgeordneten und China-Experten Reinhard Bütikofer, den CDU-Europaabgeordnete Michael Gahler sowie den Uiguren-Forscher Adrian Zenz und das renommierte Mercator-Institut für China-Studien (Merics). © dpa-infocom, dpa:210323-99-931834/3 Uiguren China Menschenrechte","sueddeutsche, DPA"
Skispringen. Eisenbichler: Bei Olympia mehrere Gastgeberländer denkbar,no_author,2021-03-24 06:14:35,https://www.sueddeutsche.de/bayern/skispringen-eisenbichler-bei-olympia-mehrere-gastgeberlaender-denkbar-dpa.urn-newsml-dpa-com-20090101-210324-99-946182,"Planica (dpa) - Für Skisprung-Weltmeister Markus Eisenbichler könnten die Olympischen Winterspiele auch mal in mehreren Ländern stattfinden. Als Beispiel nannte der 29 Jahre alte Bayer im Interview der Deutschen Presse-Agentur   und Österreich, ""wo die Wege kurz sind und wo schon ziemlich viele Anlagen stehen."" Nach Südkorea mit Pyeongchang 2018 steht im kommenden Winter China mit Peking auf dem Programm. ""Ich glaube auch, dass das nicht immer nur ein Land austragen muss oder soll"", sagte Eisenbichler. Groß ärgern über die derzeitigen Olympia-Ausrichter möchte sich Eisenbichler aber nicht. ""Mir wäre es natürlich lieber, wenn Olympia an Orten stattfinden würde, wo der   Tradition hat. Aber ich kann da nichts ändern. Jetzt haben wir es in Peking, so ist es halt"", sagte der Mixed- und Team-Weltmeister von Oberstdorf. Ab Donnerstag stehen im slowenischen Planica die vier letzten Saisonwettbewerbe an. Eisenbichler möchte dort seinen zweiten Platz im Gesamtweltcup verteidigen. © dpa-infocom, dpa:210324-99-946182/2 Deutschland Wintersport","sueddeutsche, DPA"
Fußball - Mönchengladbach. Möglicher Gladbach-Coach Alonso: Irgendwann einer für Bayern,no_author,2021-03-23 05:58:32,https://www.sueddeutsche.de/sport/fussball-moenchengladbach-moeglicher-gladbach-coach-alonso-irgendwann-einer-fuer-bayern-dpa.urn-newsml-dpa-com-20090101-210322-99-920657," (dpa) - Halbe Sachen macht Xabi Alonso nicht. Als er 2017 beim FC Bayern München aufhörte, hatte er Optionen in den USA, in China und anderen Ligen, in die man gerne mal geht, um zum Karriere-Ende nochmal kräftig zu verdienen. Alonso beendete mit 35 lieber seine Karriere. ""Ich wollte auf dem höchsten Niveau aufhören"", sagte er. Und kaum hatte er die eine Karriere beendete, begann er strebsam die nächste. Jugend-Trainer bei Real Madrid, danach die 2. Mannschaft von Real Sociedad San Sebastian. Und im Sommer, mit nicht einmal 40, wird er auch als Trainer in einer der Top-Ligen Europas angekommen sein. Denn laut ""Bild"" und ""Sport Bild"" wird der Baske Trainer von Borussia Mönchengladbach. Perfekt ist dies aber lange noch nicht. Die Borussia spreche noch mit mindestens einem weiteren Trainer-Kandidaten. Doch selbst wenn Alonso an den Niederrhein kommt, scheint dies für viele nur eine Durchgangsstation zu sein. Und falls Alonso dann irgendwann bestätigt werden sollte, wird Manager Max Eberl sicher gefragt werden, ob der dem früheren Welt- und Europameister eine Ausstiegsklausel eingeräumt hat. So wie Marco Rose, der diese nun zog und zu Borussia Dortmund wechselt. Denn selbst die Borussia scheint für Alonso, der vor seinen drei Jahren beim FC Bayern je fünf Spielzeiten beim FC Liverpool und Real Madrid verbrachte, irgendwie eine neue Nummer zu klein. Viele sehen den früheren Mittelfeld-Strategen, der durch seine demütige, aber gleichzeitig offene und eloquente Art überall Sympathien erwarb, als geborenen Trainer. Und sehen ihn deshalb irgendwann auch folgerichtig auf der Bank einer seiner drei großen Ex-Clubs. In München haben sie ihr grundsätzliches Interesse daran längst bekundet. Bayern-Vorstandschef Karl-Heinz Rummenigge äußerte gerade vor wenigen Monaten den Glauben, ""dass er mal ein Trainer sein wird, der für den FC Bayern irgendwann in der Zukunft möglicherweise von Interesse sein kann."" Dafür müsste der aus einer echten Fußball-Familie stammende Baske - Vater und ein Bruder haben jeweils eine Vita als Profi, ein anderer Bruder hat eine als Schiedsrichter - in Gladbach erst einmal beweisen, dass er wirklich ein guter Trainer ist. Allein, dass sein Name durchsickerte, elektrisierte am Montag schon viele am Niederrhein. Die Untergangsstimmung der letzten Wochen wich purer Euphorie. Und vielleicht wird Alonso auch den ein oder anderen spektakulären Transfer möglich machen. In München werden sie sein Wirken jedenfalls genau beobachten. © dpa-infocom, dpa:210322-99-920657/7 Mönchengladbach","sueddeutsche, DPA"
Diplomatie. Deutschland zitiert Chinas Botschafter zu Gespräch ins Auswärtige Amt,no_author,2021-03-23 17:05:48,https://www.sueddeutsche.de/politik/diplomatie-deutschland-zitiert-chinas-botschafter-zu-gespraech-ins-auswaertige-amt-dpa.urn-newsml-dpa-com-20090101-210323-99-941078,"Brüssel (dpa) -   hat wegen der von China erlassenen Sanktionen gegen deutsche Politiker und Wissenschaftler den chinesischen Botschafter in Berlin ins Auswärtige Amt zitiert. Man habe auf ein Gespräch bestanden, weil man sehr deutlich machen wollte, dass die Sanktionierung von Abgeordneten und Wissenschaftlern absolut nicht nachvollziehbar sei, erklärte Bundesaußenminister Heiko Maas (SPD) am Dienstag am Rande eines Nato-Treffens in Brüssel. © dpa-infocom, dpa:210323-99-941078/1 Deutschland","sueddeutsche, DPA"
Konflikte. Machthaber Kim Jong Un testet wieder Marschflugkörper,no_author,2021-03-24 06:18:40,https://www.sueddeutsche.de/politik/konflikte-machthaber-kim-jong-un-testet-wieder-marschflugkoerper-dpa.urn-newsml-dpa-com-20090101-210324-99-946027,"Seoul/Washington (dpa) -   hat den ersten Raketentest seit dem Amtsantritt von US-Präsident Joe Biden unternommen. Bei dem Waffentest seien am Sonntag an der Westküste Nordkoreas wahrscheinlich zwei Marschflugkörper von kurzer Reichweite abgefeuert worden, teilte der Generalstab der südkoreanischen Streitkräfte mit. Biden spielte den   herunter. Auf die Frage von Journalisten, ob der Test als Provokation gesehen werde, sagte Biden unter Berufung auf das US-Verteidigungsministerium in Washington: ""Nein...alles wie gehabt. Da gibt es kein neues Problem bei dem, was sie getan haben."" UN-Resolutionen verbieten der selbst erklärten Atommacht Nordkorea den Test von ballistischen Raketen, die je nach Bauart auch atomare Sprengköpfe tragen können. Tests von Marschflugkörpern unterliegen dagegen nicht den Sanktionen gegen das Land. Anders als ballistische Raketen verfügen Marschflugkörper (Cruise Missile) über einen permanenten eigenen Antrieb. Wie weit die beiden Lenkflugkörper am Sonntag flogen, war zunächst unklar. Es war der erste bekannt gewordene Raketentest des Landes seit April des vergangenen Jahres. Der Test scheine Teil des Wintertrainings der nordkoreanischen Streitkräfte zu sein, zitierte die südkoreanische Nachrichtenagentur Yonhap einen Militärvertreter. Der Test erfolgte nach gemeinsamen Militärübungen der Streitkräfte Südkoreas und der  . Die neuntägige Kommandoübung, die kein Feldtraining umfasste, war am Donnerstag der vergangenen Woche zu Ende gegangen. Die einflussreiche Schwester des nordkoreanischen Machthabers Kim Jong Un, Kim Yo Jong, hatte die Militärübungen verurteilt und der neuen US-Regierung vorgeworfen, als ersten Schritt Ärger machen zu wollen. US-Außenminister Antony Blinken hatte China bei einem Besuch in Seoul in der vergangenen Woche dazu aufgerufen, im Streit über das nordkoreanische Atomwaffenprogramm seinen Einfluss auf die Regierung in Pjöngjang stärker geltend zu machen. Die US-Regierung ist dabei, in Zusammenarbeit mit   und anderen Verbündeten eine neue Nordkorea-Politik zu formulieren. Die umfassende Überprüfung dieser Politik einschließlich der Optionen sei fast abgeschlossen, sagte ein ranghoher Regierungsbeamter. Washington habe zu den diplomatischen Bemühungen bezüglich Nordkoreas keine ""Illusionen darüber, wie schwierig das wird"". Nordkorea treibt sein Raketenprogramm seit vielen Jahren voran. Im Mittelpunkt steht dabei die Entwicklung von ballistischen Raketen. Daneben entwickelt das isolierte Land weitere Waffensysteme, darunter auch Lenkwaffen. Die Verhandlungen zwischen Pjöngjang und Washington über das nordkoreanische Atomprogramm kommen seit zwei Jahren nicht mehr voran. © dpa-infocom, dpa:210324-99-946027/3 Nordkorea Test USA Südkorea","sueddeutsche, DPA"
Krankheiten. 14 Länder zweifeln an Qualität von WHO-Studie zu Corona,no_author,2021-03-30 20:07:55,https://www.sueddeutsche.de/gesundheit/krankheiten-14-laender-zweifeln-an-qualitaet-von-who-studie-zu-corona-dpa.urn-newsml-dpa-com-20090101-210330-99-32857,"Genf (dpa) - Die USA und 13 weitere Länder haben Zweifel an der Qualität einer lange erwarteten Untersuchung über den Ursprung des Coronavirus in China geäußert. Die Studie im Auftrag der Weltgesundheitsorganisation ( ) wurde am Dienstag in Genf veröffentlicht. Darin betonten Experten die Notwendigkeit weiterer Studien über die Herkunft des Virus aus der Tierwelt sowie einer möglichen Viruszirkulation außerhalb Chinas, bevor die ersten Fälle in Wuhan entdeckt wurden. Die Theorie, das Virus könne aus einem Labor entwichen sein, bezeichnen die Forscher als ""extrem unwahrscheinlich"" - ganz im Sinne der chinesischen Regierung. ""Wir unterstützen eine transparente und unabhängige Analyse und Bewertung der Ursprünge des Virus, frei von Eingriffen und ungebührlicher Einflussnahme"", teilte das US-Außenministerium in Washington mit. ""In dieser Hinsicht drücken wir unsere gemeinsame Sorge über die von der WHO anberaumte Studie in   aus."" Die Studie sei deutlich verzögert worden und die Wissenschaftler hätten keinen Zugang zu kompletten Originaldatensätzen und Proben gehabt. Zu den Unterzeichnern gehören auch Dänemark, Norwegen, Großbritannien, Australien, Kanada und Japan. Die WHO werde natürlich sämtliche Thesen zum Ursprung des Virus weiter verfolgen, hatte WHO-Chef Tedros Adhanom Ghebreyesus zuvor beteuert. Dazu gehöre auch die Labor-Theorie, sagte auch Peter Embarek, der Leiter der WHO-Teams. Allerdings sei es sehr viel wahrscheinlicher, dass das Virus aus der Tierwelt stamme. Die Mission war politisch heikel. China setzt alles daran, nicht als Sündenbock für die Coronavirus-Pandemie an den Pranger gestellt zu werden. Es dauerte sechs Monate, bis die internationalen Experten anreisen durften. Selbst der mit Kritik an China zurückhaltende WHO-Chef ließ seine Frustration darüber erkennen. Embarek räumte am Dienstag schwierige Umstände ein. ""Natürlich gab es politischen Druck, auch von außerhalb Chinas"", sagte er. Kritiker argwöhnen, China habe großen Einfluss auf die Endversion des Berichts genommen. ""Es gab nie Druck, kritische Elemente aus unseren Bericht zu entfernen"", sagte Embarek. Alle Teammitglieder stünden hinter dem Bericht. Beteiligt waren 17 internationale und 17 chinesische Wissenschaftler. Die US-Regierung sieht eine Reihe ungeklärter Fragen. ""Ich denke, wir müssen die Methodologie von diesem Bericht besser verstehen"", sagte Andy Slavitt, ein ranghoher Corona-Berater des Weißen Hauses, dem Sender CNN. ""Wurde den Ermittlern, die den Bericht geschrieben haben, vollständiger Zugang zu allem gewährt? Wurden sie in irgendeiner Weise von der Regierung Chinas beeinflusst, als sie diesen Bericht schrieben? Bis wir die Antworten auf diese Fragen kennen, denke ich, ist es das Beste, wenn wir den Bericht mit einer gesunden Skepsis, nicht zwangsläufig mit Zynismus, betrachten."" ""Was die WHO angeht, bleiben alle Hypothesen auf dem Tisch"", sagte Tedros. ""Dieser Bericht ist ein wichtiger Anfang, aber nicht das Ende. Wir haben den Ursprung des Virus noch nicht gefunden."" Es werde alles getan, um das Rätsel zu lösen, um das Risiko, dass sich eine ähnliche Pandemie wiederholen könne, zu reduzieren. In dem Bericht kommt das Team zu dem Schluss, dass das Virus seinen Ursprung sowohl in Fledermäusen als auch in Schuppentieren haben könnte. Nach Angaben der Wissenschaftlerinnen und Wissenschaftler könnten auch Nerze und Katzen Wirte sein. Allen vorläufigen Studien nach müsse es aber einen Zwischenwirt gegeben haben, bevor das Virus auf den Menschen übertragen wurde. Er wurde aber bislang nicht gefunden. ""Mögliche Zwischenwirte könnten Nerze, Schuppentiere, Hasen, Marderhunde und Hauskatzen (...) umfassen oder Arten wie Zibetkatzen, Dachse oder verwandte Marderarten, die während des Ausbruchs in der Provinz Guangdong in China nachweislich mit Sars-Coronaviren infiziert waren"", heißt es in dem Bericht. Ob der Huanan-Markt in Wuhan, der im vergangenen Jahr im Zentrum des Ausbruchs stand, tatsächlich Ausgang der Pandemie war, sei nicht klar, berichten die Forscher. Es seien auch Fälle bekannt, die nichts mit dem Markt zu tun hatten. Die Ergebnisse könnten nahelegen, ""dass der Huanan-Markt nicht die ursprüngliche Quelle des Ausbruchs war"". © dpa-infocom, dpa:210330-99-32857/2 WHO China","sueddeutsche, DPA"
Schifffahrt. Containerschiff blockiert Suezkanal,no_author,2021-03-24 09:50:11,https://www.sueddeutsche.de/wirtschaft/schifffahrt-containerschiff-blockiert-suezkanal-dpa.urn-newsml-dpa-com-20090101-210324-99-946759,"Kairo (dpa) - Ein Frachter ist im   in der Nacht zu Mittwoch auf Grund gelaufen und blockiert seither die wichtige Schifffahrtsstraße zwischen Asien und Europa. Mehrere Schlepperboote waren zunächst rund um den Frachter im Einsatz, wie auf den Schiffsradaren vesselfinder.com und marinetraffic.com zu sehen war. Sowohl nördlich als auch südlich des Kanals bildeten sich demnach Staus von Containerschiffen. Der Vorfall habe sich am Dienstag ereignet, teilte das Seefahrts- und Logistikunternehmen GAC auf seiner Internetseite mit. An Bord des Frachters sei es zu einem Stromausfall gekommen. Nach Angaben der Schiffsradare handle sich um den Frachter ""Ever Given"". Laut vesselfinder.com ist er 400 Meter lang und 59 Meter breit. Das 2018 gebaute Schiff fahre unter der Flagge Panamas, es sei aus China gekommen und auf dem Weg nach Rotterdam in den Niederlanden. Es war zunächst unklar, wann die Schifffahrtsstraße wieder freigegeben werden könne. Eine Mitteilung der Kanalbehörden lag zunächst nicht vor. Der Suezkanal ist eine Wasserstraße, die das Mittelmeer mit dem Roten Meer verbindet. Sie ist daher eine wichtige Seeverbindung und Handelsroute zwischen Asien und Europa. © dpa-infocom, dpa:210324-99-946759/3 Suezkanal","sueddeutsche, DPA"
Diplomatie. Deutschland zitiert Chinas Botschafter ins Auswärtige Amt,no_author,2021-03-23 18:10:48,https://www.sueddeutsche.de/politik/diplomatie-deutschland-zitiert-chinas-botschafter-ins-auswaertige-amt-dpa.urn-newsml-dpa-com-20090101-210323-99-941280,"Brüssel/Berlin (dpa) - Die diplomatischen Spannungen zwischen der Europäischen Union und China spitzen sich zu.   zitierte wegen der von China erlassenen Sanktionen gegen deutsche Politiker und Wissenschaftler den chinesischen Botschafter in Berlin ins Auswärtige Amt. Man habe auf ein Gespräch bestanden, weil man sehr deutlich machen wollte, ""dass die Sanktionierung von Abgeordneten und Wissenschaftlern für uns absolut nicht nachvollziehbar ist"", erklärte Bundesaußenminister   (SPD) am Rande eines Nato-Treffens in Brüssel. Darüber hinaus bestellten sowohl China als auch andere EU-Staaten die Botschafter der jeweils anderen Seite ein. Die EU hatte am Vortag zum ersten Mal seit mehr als drei Jahrzehnten wieder Sanktionen gegen China wegen Verletzungen der   verhängt. Sie richten sich gegen Verantwortliche für die Verfolgung der Uiguren in der Region Xinjiang in Nordwestchina. Als Reaktion kündigte die Regierung in Peking umgehend Gegensanktionen gegen europäische Politiker, Experten und Institutionen an. In Deutschland betreffen sie den Grünen-Europaabgeordneten und China-Experten Reinhard Bütikofer, den CDU-Europaabgeordnete Michael Gahler sowie den Uiguren-Forscher Adrian Zenz und das renommierte Mercator-Institut für China-Studien (Merics). Wegen der Sanktionen bestellte   zudem bereits am Montag den EU-Delegationschef in Peking ein. Wie das Ministerium mitteilte, sei Nicolas Chapuis der chinesische Protest übermittelt worden. Vizeaußenminister Qin Gang habe bei dem Gespräch darauf verwiesen, dass sich die Strafmaßnahmen auf ""Lügen und Falschinformationen stützen"". Die Sanktionen widersprächen der Realität und Vernunft, wurde Qin Gang zitiert. Die Europäische Union sei nicht qualifiziert, sich als Menschenrechtslehrer aufzuspielen. China dränge die EU, die Ernsthaftigkeit dieses Fehlers anzuerkennen, ihn zu korrigieren und die Konfrontation zu beenden, ""um den chinesisch-europäischen Beziehungen nicht mehr Schaden zuzufügen"", hieß es weiter. Auch der britische Botschafter sei einbestellt worden. Neben der EU hatten Großbritannien, Kanada und die USA Sanktionen wegen Menschenrechtsverletzungen gegen China verhängt. Maas erwiderte am Dienstagnachmittag in Brüssel: ""Während wir Menschenrechtsverletzungen sanktionieren, sanktioniert Peking die Demokratie und ihre Institutionen und das können wir so nicht akzeptieren."" Frankreich und Litauen reagierten am Dienstag ebenfalls und bestellten die chinesischen Botschafter in den beiden Ländern ein. CDU-Außenpolitiker Norbert Röttgen forderte eine entschiedene Reaktion der EU: ""Wenn die EU, die mit eher symbolischen Sanktionen wegen der massiven Menschenrechtsverletzungen in China begonnen hat, nun zurückschreckt und nicht ihrerseits hart reagiert, wäre das eine maximale außenpolitische Selbstbeschädigung der EU"", sagte Röttgen dem ""Handelsblatt"". Das Investitionsabkommen mit China könne unter den aktuellen Umständen nicht ratifiziert werden. Die EU-Sanktionen vom Montag sehen vor, dass sämtliche Vermögenswerte der betroffenen natürlichen oder juristischen Personen eingefroren werden. Außerdem dürfen ihnen kein Geld oder wirtschaftliche Ressourcen mehr zur Verfügung gestellt werden. Die Einreise in die EU ist ihnen nun ebenfalls verboten. Zu den vier betroffenen Chinesen zählen dem aktuellen EU-Amtsblatt zufolge der Direktor des Büros für öffentliche Sicherheit von Xinjiang, Chen Mingguo, sowie Vertreter des Parteikomitees des Uigurischen Autonomen Gebiets Xinjiang. Zudem wurde das Büro für öffentliche Sicherheit als Institution in die EU-Sanktionsliste aufgenommen. Alle Betroffenen sind nach Auffassung der EU für die massenhafte willkürliche Internierung und erniedrigende Behandlung von   und Angehörigen anderer muslimischer ethnischer Minderheiten sowie systematische Verstöße gegen die Religions- und Weltanschauungsfreiheit dieser Menschen verantwortlich. Die Menschenrechtsverletzungen seien im Zuge eines ""großangelegten Überwachungs-, Internierungs- und Indoktrinationsprogramms"" gegen muslimische ethnische Minderheiten erfolgt, heißt es im EU-Amtsblatt. © dpa-infocom, dpa:210323-99-941280/5 Deutschland Heiko Maas Menschenrechte China Uiguren","sueddeutsche, DPA"
"Skispringen. China, Klima, Corona: Sorgen für Skispringer um Eisenbichler",no_author,2021-03-24 10:48:41,https://www.sueddeutsche.de/sport/skispringen-china-klima-corona-sorgen-fuer-skispringer-um-eisenbichler-dpa.urn-newsml-dpa-com-20090101-210323-99-943803,"Planica (dpa) - Das Motto für den nächsten Corona-Sommer hat   schon ausgegeben. Der Skispringer will ""nicht immer alles negativ sehen"" und das Beste aus der Situation machen. Wenn das XXL-Flugwochenende mit gleich vier Wettbewerben auf der Riesenanlage im slowenischen Planica vorbei ist, werden ""Eisei"" und Co. mit Blick auf den ersten geschafften Corona-Winter kräftig durchschnaufen. Die Unwägbarkeiten rund um die Schanzen hören mit der langen Sommerpause aber nicht auf, ganz im Gegenteil. Große Nachwuchsprobleme, von Jahr zu Jahr wenige konkurrenzfähige Nationen und immer kürzere und zugleich wärmere Winter: Das sind grob umrissen die Zukunftssorgen der Skispringer, die nach einem extrem vollgepackten Winter ohne Publikum ausgezehrt wirken. Und dann gibt es noch  , das nächstes Jahr in Peking stattfinden soll. ""Mir wäre es natürlich lieber, wenn Olympia an Orten stattfinden würde, wo der Wintersport Tradition hat. Aber ich kann da nichts ändern. Jetzt haben wir es in Peking, so ist es halt"", sagte Eisenbichler der Deutschen Presse-Agentur mit einem großen Schuss Fatalismus. Der 29 Jahre alte Ur-Bayer, der sich in diesem Winter mit zweimal Gold zu Deutschlands erfolgreichstem WM-Flieger der Geschichte krönte, will sich erst nach seiner Karriere detaillierter Gedanken machen, wie das mit dem   weitergeht und welche Zukunft Winterspiele mit riesigen Kosten an untypischen Orten noch haben. ""Man kann immer viel sagen, aber ob man damit jemand erreicht"", deutete Eisenbichler an. Für ihn wären Olympische Winterspiele auch in mehreren Ländern denkbar, zum Beispiel in   und Österreich, ""wo die Wege kurz sind und wo schon ziemlich viel Anlagen stehen"". Doch das ist nicht das einzige Sorgenkind im  . Neben der Corona-Situation, die Eisenbichler und Co. seit Monaten das Publikum nimmt, spielen auch klimatische Veränderungen massiv rein. Martin Schmitt, Talentscout in Deutschland, fürchtet schwere Zeiten. Es liege nicht daran, dass nicht genügend Kinder anfangen. ""Trotzdem sieht es nicht rosig aus. Nehmen wir den Winter 2020, da ging nicht viel mit Sprungtraining, weil der Schnee gefehlt hat"", sagte Schmitt der ""Frankfurter Allgemeinen Zeitung"". Man sei ""in allen Altersbereichen bis zu den 15-Jährigen hinunter international nicht konkurrenzfähig"", monierte er. Die immer höheren Temperaturen bedrohen nicht direkt die Ausrichtung der wetterfesten Weltcup-Skispringen, sondern die nächste Generation. Auch werfen sie eine prinzipielle Sinnfrage auf, wenn bei warmem Frühlingswetter und bis zu 20 Grad auf Skiern in den Kunstschnee gesprungen wird. Eisenbichler macht das nichts. ""Ich finds schön. Wir sind die ersten, die anfangen und mit die letzten, die aufhören. Das spricht für unseren Sport, und ich finde es cool, dass wir so viel Wettkämpfe haben"", sagte Eisenbichler. Er würde auch zwei Wochen später, also Mitte April, ""noch springen"". Ein Problem, das den Weltverband Fis schon ganz konkret betrifft, ist der Teilnehmerschwund im Weltcup. Immer wieder konnte im Winter keine Qualifikation abgehalten werden, weil nicht genug Springer am Start waren. Der nach diesem Wochenende scheidende Bundestrainer der Frauen, Andreas Bauer, mahnte: ""Mir gefällt die Entwicklung im Herren-Skisprung nicht. Es gibt fünf oder sechs große Nationen. Viele Nationen drohen wegzubrechen."" © dpa-infocom, dpa:210323-99-943803/6 Markus Eisenbichler Olympia Wintersport Deutschland Skispringen","sueddeutsche, DPA"
