title,author,date_published,url,article_text,source
"Diplomatie. Afghanistan ist ""gewaltigste"" internationale Herausforderung",no_author,2021-09-22 23:28:27,https://www.sueddeutsche.de/politik/diplomatie-afghanistan-ist-gewaltigste-internationale-herausforderung-dpa.urn-newsml-dpa-com-20090101-210922-99-321357,"New York (dpa) - Bundesaußenminister   hat bei einer G20-Videokonferenz vier Forderungen an die neue Taliban-Regierung in Afghanistan gerichtet. Humanitäre Hilfsorganisationen müssten ungehinderten Zugang zum Land erhalten und ausreisewillige Afghanen müssten das Land sicher verlassen können, sagte der SPD-Politiker am Mittwoch bei den Beratungen der wichtigsten Wirtschaftsmächte am Rande der UN-Generalversammlung in New York. Zudem müssten die   verhindern, dass Afghanistan wieder zu einem Hort des internationalen Terrorismus werde. G20 soll ""politisches Gewicht nutzen"" Außerdem müsse die Regierung die Menschenrechte schützen und auch andere Bevölkerungsgruppen in ihre Reihen aufnehmen. Es sei ein ""taktischer Fehler"" der Taliban gewesen, zunächst auf eine sogenannte inklusive Regierung zu verzichten. ""Diese Entscheidung wird es für uns schwieriger machen, mit ihnen Kontakt zu unterhalten.""               Maas bezeichnete   als ""gewaltigste Herausforderung"" der internationalen Gemeinschaft. ""Als G20 sollten wir jedoch nicht nur unsere wirtschaftliche Stärke, sondern auch unser politisches Gewicht nutzen, um Einfluss auf die Entscheidungen der neuen Machthaber in Afghanistan zu nehmen"", forderte er. Der G20 gehören unter anderem die USA, China und Russland an. © dpa-infocom, dpa:210922-99-321357/2 Heiko Maas Taliban Afghanistan","sueddeutsche, DPA"
Immobilien. Evergrande-Aktie legt kräftig zu - Unsicherheit bleibt,no_author,2021-09-23 13:18:15,https://www.sueddeutsche.de/wirtschaft/immobilien-evergrande-aktie-legt-kraeftig-zu-unsicherheit-bleibt-dpa.urn-newsml-dpa-com-20090101-210923-99-325386,"Peking/Berlin/Frankfurt (dpa) - Der schwer angeschlagene chinesische Immobilienkonzern Evergrande hat am Donnerstag trotz anhaltender Ängste vor Zahlungsausfällen an der Hongkonger Börse kräftig zugelegt. Die Evergrande-Aktie beendete den Handel mit einem Plus von rund 17 Prozent auf 2,66 Hong-Kong-Dollar. Zeitweise waren die Papiere sogar um über 30 Prozent gestiegen. Laut Beobachtern reagierten Anleger auf eine Ankündigung vom Vortag, wonach sich der Konzern etwas Luft verschaffen konnte. Evergrande hatte am Mittwoch mitgeteilt, dass sich das Unternehmen mit Gläubigern über Zinszahlungen für eine im südchinesischen Shenzhen gehandelte Anleihe geeinigt habe, die am Donnerstag fällig wurden. Die Hongkonger Börse war am Mittwoch wegen eines Feiertags geschlossen.  Der chinesische Konzern hat Schulden von umgerechnet mehr als 300 Milliarden Dollar. Anleger befürchten einen Zahlungsausfall. Der Konzern muss Geld auftreiben, um Banken, Zulieferer und Anleihegläubiger fristgerecht zu bezahlen. Zudem schuldet Evergrande Kleinanlegern, darunter vielen Mitarbeitern, mehrere Milliarden Dollar. Der Konzern ist so groß, dass einige Experten eine ""Ansteckungsgefahr"" für die chinesische Wirtschaft und darüber hinaus befürchten. Die deutsche Finanzaufsicht Bafin sieht derzeit keine Veranlassung für eine vertiefte Prüfung deutscher Banken wegen der Krise von Evergrande. ""Im vorliegenden Fall schätzt die Bafin das Exposure der deutschen Finanzwirtschaft auf Basis der ihr aus dem aufsichtlichen Meldewesen vorliegenden Informationen aktuell als so gering ein, dass sie diesbezüglich von den unter ihrer Aufsicht stehenden Instituten bislang keinen Stresstest angefordert hat"", heißt es in einer Antwort des Bundesfinanzministeriums auf eine Anfrage des FDP-Bundestagsabgeordneten Reginald Hanke. Im Kern würde es bei einem solchen Stresstest darum gehen, zu klären, wie groß die Gefahr wäre, dass Banken Kreditausfälle verkraften müssten, sollte sich die Evergrande-Krise weiter zuspitzen. Für anhaltende Verunsicherung sorgte, dass das Unternehmen noch immer keine Angaben zu einer weiteren in US-Dollar gehandelten Offshore-Anleihe gemacht hat. Nach Berechnungen des Finanzdienstes Bloomberg musste Evergrande hierfür am Donnerstag eine Zinszahlung von 83,5 Millionen US-Dollar (rund 71 Mio. Euro) leisten. Eine weitere Zinszahlung von 47,5 Millionen Dollar ist am 29. September fällig. Für beide Zahlungen gilt laut Bloomberg eine Nachfrist von 30 Tagen, was Evergrande weitere Zeit verschaffen könnte. Wie chinesische Staatsmedien berichteten, versuchte Evergrande-Chef Xu Jiayin in einer Sondersitzung am Mittwochabend erneut Ängste zu zerstreuen. Es habe oberste Priorität, Kunden von Vermögensanlageprodukten auszuzahlen, sagte der Vorstandsvorsitzende demnach. Auch müsse alles dafür getan werden, den Bau von nicht fertiggestellten Wohnungen wieder aufzunehmen und die Interessen der Eigentümer zu schützen.  Ein wichtiger Aktionär von Evergrande kündigte an, nicht länger an seiner Beteiligung festhalten zu wollen. Die Chinese Estates Holdings, der zweitgrößte Aktionär von Evergrande, teilte mit, dass Anteile im Wert von 32 Millionen Dollar bereits verkauft worden seien. Später wolle man sich komplett von den Anteilen trennen.  Die Bundesanstalt für Finanzdienstleistungsaufsicht (Bafin) behalte ""die Situation aufgrund der dynamischen Entwicklung um die Evergrande Group in Bezug auf mögliche Auswirkungen auf die deutsche Finanzwirtschaft ganz genau im Blick"", teilte das Finanzministerium weiter mit. Der FDP-Bundestagsabgeordnete Gerald Ullrich äußerte sich skeptisch: ""Man kann nur hoffen, dass die Bafin mit dieser Unbesorgtheit richtig liegt und nach den Skandalen der letzten Jahre z.B. bei Wirecard mit ihrer Prognose dieses Mal richtig liegt."" Im Fall von Wirecard war weder der Bafin noch den Wirtschaftsprüfern von EY der mutmaßlich über Jahre laufende Milliardenbetrug des inzwischen insolventen Zahlungsdienstleisters aufgefallen. © dpa-infocom, dpa:210923-99-325386/4","sueddeutsche, DPA"
Auto - München. Scania-Chef Levin führt künftig VW-Lastwagenholding Traton,no_author,2021-09-29 21:39:16,https://www.sueddeutsche.de/bayern/auto-muenchen-scania-chef-levin-fuehrt-kuenftig-vw-lastwagenholding-traton-dpa.urn-newsml-dpa-com-20090101-210929-99-417957," (dpa) - Stühlerücken bei der VW-Lastwagentochter Traton: Der bisherige Chef Matthias Gründler scheidet noch in dieser Woche vorzeitig aus und wird durch den bisherigen Lenker des schwedischen Lkw-Bauers Scania, Christian Levin, ersetzt. Traton-Aufsichtsratschef Hans Dieter Pötsch erklärte am Mittwochabend, der 54-jährige Levin sei eine starke Führungskraft. ""Er hat meine volle Unterstützung, den Weg zu stärkerer Rentabilität und Wachstum zu gestalten."" Neben Gründler verlässt auch Finanzvorstand Christian Schulz einvernehmlich Traton, wie das Münchner Unternehmen mitteilte. Er wird von Annette Danielski abgelöst, die bei Traton bisher die Konzernfinanzen leitete und damit unterhalb des Finanzvorstandes arbeitete. Levin bleibt auch Scania-Chef. Er und die 56-jährige Danielski sollen ihre neuen Posten bei Traton am Freitag antreten. Traton ist zwar börsennotiert, gehört aber mehrheitlich dem Volkswagen-Konzern, der Lkw-Marken wie Scania, MAN oder den US-Hersteller Navistar unter dem Dach der Münchner gebündelt hat. Unter Gründler einigte sich Traton im vergangenen Jahr auf die Übernahme von Navistar, einem Konkurrenten der Daimler-Tochter Freightliner. Sein Vorstandskollege Schulz hatte beim Traton-Börsengang 2019 eine wichtige Rolle gespielt. Gründler erklärte nun, man habe die Strategie eines ""Global Champions"" schneller als erwartet umsetzen können. ""Jetzt geht es darum, Traton in eine nachhaltige Zukunft über konventionelle Geschäftsmodelle und Denkweisen hinaus zu führen."" Der künftige Traton-Chef Levin kündigte an, bis Ende des Jahres einen umfassenden Plan vorzulegen und nannte dabei etwa den Trend zu elektrischen Fahrzeugen, die Integration von Navistar und weitere Investitionen in China. Zudem soll durch Modularisierung mehr Geld gespart werden. Diese Strategie verfolgt der VW-Konzern auch bei Personenwagen. Auch die neue Finanzchefin Danielski erklärte, eine ihrer ersten Aufgaben sei die vollständige Integration von Navistar. Eine Baustelle für die Manager dürfte die schwächelnde Tochter MAN bleiben: Das Unternehmen soll für den Bau von E-Fahrzeugen neu aufgestellt werden. 3500 Stellen sollen in   wegfallen. © dpa-infocom, dpa:210929-99-417957/3 München Deutschland","sueddeutsche, DPA"
Telekommunikation. Litauen warnt vor unsicheren chinesischen 5G-Smartphones,no_author,2021-09-22 20:58:56,https://www.sueddeutsche.de/wirtschaft/telekommunikation-litauen-warnt-vor-unsicheren-chinesischen-5g-smartphones-dpa.urn-newsml-dpa-com-20090101-210922-99-311344,"Vilnius (dpa) - Litauens Regierung hat vor Sicherheitslücken und eingebauten Zensurfunktionen in chinesischen Mobiltelefonen gewarnt. Nach Angaben des staatlichen Zentrums für Cybersicherheit in Vilnius sind bei einer Untersuchung von drei 5G-Smartphones der Hersteller Huawei, Xiaomi und OnePlus vier zentrale Cybersicherheitsrisiken festgestellt worden. Zwei davon seien mit vorinstallierten Apps verknüpft und die anderen beiden mit dem Risiko des Verlusts personenbezogener Daten und möglicher Einschränkungen der Meinungsfreiheit, teilte die dem Verteidigungsministerium des baltischen EU- und Nato-Landes unterstellte Behörde mit. Bei der Analyse des Xiaomi-Geräts sei etwa festgestellt worden, dass es technisch die Fähigkeit besitze, die darauf heruntergeladenen Inhalte zu zensieren. Demnach könne es Begriffe wie ""Freies Tibet"" oder ""Demokratiebewegung"" erkennen und blockieren, hieß es in der Mitteilung. Diese Funktion sei bei in Europa verkauften Handys deaktiviert, könne aber jederzeit auch aus der Ferne eingeschaltet werden. Bei Huawei-Telefonen gebe es Bedenken in Verbindung mit dem offiziellen App-Store, der zu unsicheren Anbietern weiterleite. Bei OnePlus dagegen seien keine Sicherheitslücken entdeckt worden. Die Regierung in Vilnius riet den litauischen Verbrauchern, den Kauf von Mobiltelefonen der chinesischen Hersteller zu vermeiden und bereits verwendete Geräte nicht mehr zu nutzen. Auch in Deutschland sorgen die Warnungen für Beunruhigung. ""Die Entdeckungen der Behörden in   sind alarmierend"", sagte der digitalpolitische Sprecher der SPD-Bundestagsfraktion, Jens Zimmermann, dem ""Handelsblatt"". Das Bundesamt für Sicherheit in der Informationstechnik (BSI) müsse den Hinweisen ""umgehend"" nachgehen und das Ausmaß der Gefährdung bewerten. ""Insbesondere muss geklärt werden, ob diese Geräte die entsprechende Zensur auch jeweils an chinesische Stellen melden."" Huawei wies nach einem Bericht der Agentur BNS die Bedenken zurück. ""Benutzerdaten werden niemals außerhalb des Huawei-Geräts verarbeitet"", teilte der litauische Vertreter des chinesischen Tech-Konzerns mit. Ein Sprecher von Xiaomi erklärte, die Geräte seines Unternehmens zensierten keine Kommunikation mit oder von ihren Nutzern. ""Xiaomi hat und wird niemals persönliche Aktivitäten seiner Smartphone-Nutzer einschränken oder unterbinden, wie beispielsweise das Suchen, Anrufen, Surfen im   oder die Verwendung von Drittanbieter-Kommunikationssoftware."" Das Unternehmen respektiere und schütze die gesetzlichen Rechte seiner Nutzer in vollem Umfang und erfülle auch die Bestimmungen der europäischen Datenschutzgrundverordnung. Nach Angaben der Behörde wurden die drei Hersteller für die Studie ausgewählt, weil in öffentlichen Datenbanken Cybersicherheitsrisiken in deren Produkten identifiziert worden waren. In Litauen selbst haben rund 200 öffentliche Stellen deren Mobiltelefone mit dem schnellen Mobilfunkstandard 5G erworben. Zwischen Litauen und   war es in den vergangenen Monaten zu diplomatischen Spannungen gekommen. Hintergrund war die Entscheidung der Regierung in Vilnius, engere Beziehungen zu Taiwan aufzunehmen. © dpa-infocom, dpa:210922-99-311344/4 Litauen Internet China","sueddeutsche, DPA"
Wirtschaftspolitik. Europäische Unternehmen besorgt über Chinas neuen Kurs,no_author,2021-09-23 10:36:52,https://www.sueddeutsche.de/politik/wirtschaftspolitik-europaeische-unternehmen-besorgt-ueber-chinas-neuen-kurs-dpa.urn-newsml-dpa-com-20090101-210923-99-323769,"Peking (dpa) - Europäische Unternehmen sehen den neuen Wirtschaftskurs der chinesischen Führung mit großer Sorge. ""Auf den ersten Blick scheint im Reich der Mitte zwar alles in Ordnung zu sein"", sagte der Präsident der EU-Handelskammer in  , Jörg Wuttke, am Donnerstag in Peking. So hätten viele Unternehmen im vergangenen Jahr wieder einmal Rekordzahlen bei Umsatz und Gewinn erzielt, was sich in naher Zukunft auch nicht ändern dürfte. Und auch kurzfristig blieben die Aussichten für europäische Unternehmen, die in China tätig sind, insgesamt positiv. Es gebe jedoch ""besorgniserregende Anzeichen"" dafür, dass sich China zunehmend nach innen wende. ""Diese Tendenz lässt erhebliche Zweifel am künftigen Wachstumspfad des Landes aufkommen"", sagte Wuttke bei der Vorlage des jährlichen Positionspapiers der EU-Handelskammer. Diese verwies auf den im März auf dem Pekinger Volkskongress verabschiedeten neuen Fünfjahresplan, der als Kurs klar vorgebe, ""die Abhängigkeit vom Rest der Welt zu verringern und schließlich einen hohen Grad an Autarkie zu erreichen"". Kritik äußerte auch der Bundesverband der Deutschen Industrie (BDI). ""Pekings Fokussierung auf Autarkie und nationale Sicherheit trübt die Aussichten europäischer Unternehmen im wichtigsten globalen Wachstumsmarkt"", sagte BDI-Hauptgeschäftsführer Joachim Lang. Dabei werde China voraussichtlich die Rolle, die ausländische Unternehmen derzeit in der Wirtschaft des Landes spielen, weiter reduzieren - insbesondere in den Hochtechnologiesektoren, sagte Wuttke: ""Große Sorgen bereitet den Mitgliedern der Europäischen Handelskammer die Frage, inwieweit sie in der Lage sein werden, zum künftigen Wirtschaftswachstum Chinas beizutragen. Auch die andauernde Reglementierung des Privatsektors des Landes sei besorgniserregend. Mit einer großen Regulierungskampagne von Staats- und Parteichef Xi Jinping wurden in den vergangenen Monaten mächtige Tech-Konzerne, der Online-Handel und Finanzdienste, die Gamingbranche, Fahrdienste, der Immobiliensektor sowie die Unterhaltungs- und Bildungsindustrie immer mehr an die Leine gelegt.  Es tobt eine heftige Debatte über die Frage, wohin der Staatschef das Milliardenreich steuert. Der will ""allgemeinen Wohlstand"" erreichen. Aber Kritiker warnen vor einer ""neuen Kulturrevolution"". Sie fürchten die Rückkehr alter Zeiten, die nur Chaos gebracht hätten.   Aus Sicht der Kammer versucht die Führung in Peking derzeit offenbar, die Kontrolle über den dynamischen Privatsektor zu verstärken, um politische Ziele zu erreichen. Gleichzeitig sollen womöglich Wege gefunden werden, ""ausländische Unternehmen vom Markt und insbesondere von strategischen Sektoren auszuschließen"". Der derzeitige Kurs sei nicht nur für ausländische Firmen schlecht, die in China Geld verdienen wollen, sondern auch für die chinesische Volkswirtschaft selbst, betonte die EU-Kammer. So sei Chinas Wachstum in den vergangenen fünf Jahren bereits leicht hinter dem zurückgeblieben, wo es eigentlich sein sollte. Ein Trend, der sich fortsetzen könnte, wenn Peking sich dafür entscheide, auf mutige Marktreformen zu verzichten und stattdessen einen eher isolierten Ansatz verfolge. Dass China sich in jedem Fall zur globalen Wirtschaftssupermacht entwickelt, sei keineswegs sicher. Die Kammer fordert von Peking: Statt sich abzuschotten, müsse China ""den Geist des 1978 begonnenen Reform- und Öffnungsplans"" fortsetzen, internationale Brücken wieder aufbauen und sich für eine stärkere Integration in die Weltwirtschaft einsetzen.  Der Erfolg ausländischer Unternehmen in China hängt aus Sicht des BDI immer stärker davon ab, wie gut sie sich in Pekings nationale Agenda einfügen. ""Der Druck auf die Unternehmen wächst, ihre Operationen in China weitgehend zu lokalisieren"", sagte Lang. Gerade Mittelständler könnten die erhöhten Kosten in Zukunft hart treffen, wenn sie zum Beispiel ihr Datenmanagement und bestimmte Innovationsprozesse in China vom globalen Geschäft abtrennen müssen. © dpa-infocom, dpa:210923-99-323769/4 China","sueddeutsche, DPA"
E-Sport. Shanghai und Dallas sind im Halbfinale der Overwatch League,no_author,2021-09-23 11:04:56,https://www.sueddeutsche.de/sport/e-sport-shanghai-und-dallas-sind-im-halbfinale-der-overwatch-league-dpa.urn-newsml-dpa-com-20090101-210923-99-326415,"Hawaii (dpa) - Die beiden Favoriten Shanghai Dragons und Dallas Fuel dominieren die Playoffs der Overwatch League und werden im Halbfinale direkt aufeinandertreffen. ""Es wird ein leichter 3:0-Sieg für uns"", sagte Shanghais Jun-woo ""Void"" Kang nach dem Sieg im Viertelfinale gegen Los Angeles Gladiators (3:1). Dallas-Rivale Dongha ""Doha"" Kim äußerte im Interview ebenfalls den Wunsch, wieder gegen Shanghai zu spielen. Sollte eines der Teams das kommende Spiel verlieren, hat es immer noch die Chance, über die Verliererrunde ins Finale am 26. September einzuziehen. Im Mai-Turnier gewann Dallas so sowohl das Halbfinale als auch das Finale gegen Shanghai. Für die herausragenden Leistungen seines Teams in dieser Saison erhielt Hee-won ""RUSH"" Yun aus Dallas die Auszeichnung ""Trainer des Jahres"" der Overwatch League. Auch die verbliebenen Teams müssen durch die Verliererrunde. Noch-Weltmeister San Francisco Shock, Atlanta Reign, Chengdu Hunters sowie der Sieger des letzten Saison-Turniers, Los Angeles Gladiators, haben noch eine Chance, die Meisterschaft zu gewinnen. © dpa-infocom, dpa:210923-99-326415/2","sueddeutsche, DPA"
Fotografie - Hamburg. Photopia Hamburg: Erste Eigenveranstaltung der Messe-GmbH,no_author,2021-09-23 17:23:00,https://www.sueddeutsche.de/kultur/fotografie-hamburg-photopia-hamburg-erste-eigenveranstaltung-der-messe-gmbh-dpa.urn-newsml-dpa-com-20090101-210923-99-332441," (dpa/lno) - Mit der Photopia hat die Hamburg Messe und Congress GmbH ihre erste Präsenz-Veranstaltung nach 18-monatiger Corona-Zwangspause gestartet. ""Wir freuen         uns riesig, dass es endlich wieder losgeht"", sagte der Geschäftsführer der städtischen Messe-Gesellschaft, Bernd Aufderheide, bei der Eröffnung am Donnerstag. Die Photopia Hamburg sei eine Premiere auf dem Messegelände und an verschiedenen Orten in der Stadt.       Die Veranstaltung nutzt dabei auch eine Messehalle, die bis Ende August zum Corona-Impfzentrum gehörte. Aufderheide bezeichnete das Hallenkonzept der Photopia aus rund 350 Schiffscontainern als Hommage an Hamburg. Bis Sonntag gebe es ein vielseitiges Programm mit Konferenzen und Ausstellungen in der ganzen Stadt. Unter den rund 50 Ausstellern sind auch Unternehmen aus China, Belgien, Finnland und Polen vertreten. Zu den Angebotsschwerpunkten zählen die Drohnenfotografie und die Trendthemen Virtual und Augmented Reality. Schirmfrau des Events ist die Modefotografin Ellen von Unwerth, die den Angaben zufolge eine Auswahl ihrer Motive in großflächigen Formaten in der Ausstellung ""Larger than Life"" zeigt. © dpa-infocom, dpa:210923-99-332441/2 Hamburg","sueddeutsche, DPA"
Diplomatie. Biden und Macron vereinbaren Treffen im Oktober,no_author,2021-09-22 21:04:35,https://www.sueddeutsche.de/politik/diplomatie-biden-und-macron-vereinbaren-treffen-im-oktober-dpa.urn-newsml-dpa-com-20090101-210921-99-307867,"Washington (dpa) - Entspannungssignale zwischen Washington und Paris: Nach dem schweren Zerwürfnis im U-Boot-Streit wollen US-Präsident Joe Biden und Frankreichs Präsident   im Oktober zu einem persönlichen Treffen zusammenkommen. Bei einem Telefonat am Mittwoch hätten beide vereinbart, sich Ende Oktober in Europa zu treffen, hieß es in einer gemeinsamen Erklärung, die beide Regierungen im Anschluss veröffentlichten. Macron habe auch entschieden, dass der französische Botschafter kommende Woche nach Washington zurückkehren solle. Die USA hatten vor einigen Tagen ohne Absprache mit den Verbündeten einen neuen Sicherheitspakt mit Australien und   im Indopazifik verkündet und damit eine tiefe diplomatische Krise mit Frankreich ausgelöst. Der Pakt ließ ein milliardenschweres U-Boot-Geschäft Australiens mit Frankreichs platzen, was in Paris zu wütenden Reaktionen führte. Macron hatte unter anderem die Botschafter aus den   und Australien vorübergehend abziehen lassen - eine äußerst ungewöhnliche Maßnahme unter Verbündeten. Zum zurückgerufenen französischen Botschafter in Canberra sei noch keine Entscheidung gefallen, hieß es am Mittwoch von französischer Seite. Frankreichs Außenminister Jean-Yves Le Drian hatte sich in dem Streit mit ungewöhnlich scharfen Worten über den Vorstoß der Partner beschwert. Er nannte die Entscheidung unter anderem ""brutal"" und verglich Bidens Vorgehen mit jenem von Ex-US-Präsident Donald Trump. Biden hatte Macron schließlich um ein Telefonat gebeten, um die Differenzen zu klären. Frankreichs Präsident wiederum ließ kurz zuvor ausrichten, was genau er von dem Gespräch erwarte: Élysée-Kreise listeten unter anderem auf, Macron wolle von amerikanischer Seite das Eingeständnis, dass eine erforderliche Unterrichtung Frankreichs über die neue Sicherheitsallianz im Indopazifik versäumt worden sei. Nötig sei auch ein zeitlich abgesteckter Prozess, bei dem auf hoher Ebene die Bedingungen für eine Rückkehr zum Vertrauen auf Grundlage konkreter Taten und nicht bloß Worte bestimmt würden. Die gemeinsame Stellungnahme orientierte sich sehr an diesen von Macron formulierten ""Erwartungen"" und der teils sperrigen Wortwahl aus dem Élysée-Palast. Es hieß darin unter anderem, die Präsidenten seien sich einig gewesen, dass die Situation ""von offenen Konsultationen zwischen den Verbündeten"" zu Fragen von strategischem Interesse für   und die europäischen Partner ""profitiert"" hätte. Die Präsidenten hätten vereinbart, einen Prozess intensiver Beratungen zu starten, um die Bedingungen zu schaffen, Vertrauen zu gewährleisten und konkrete Schritte mit Blick auf gemeinsame Ziele vorzuschlagen. Ziel des Treffens sei es, ""ein gemeinsames Verständnis zu erreichen und die Dynamik in diesem Prozess aufrechtzuerhalten"". In Rom steht Ende Oktober der G20-Gipfel, also die Zusammenkunft der 20 wichtigsten Industrienationen, an, zu denen auch die USA und Frankreich gehören. Biden reist dafür ohnehin nach Europa. Ob das Treffen mit Macron am Rande des Gipfels stattfinden soll oder getrennt davon, ist noch unklar. Die Sprecherin des Weißen Hauses, Jen Psaki, sagte in Washington, die Details würden noch ausgearbeitet. Sie sagte, das Telefonat von Biden und Macron habe etwa 30 Minuten gedauert und sei im Ton freundlich gewesen. Der US-Präsident hoffe, dass das Gespräch ein Schritt zurück zu Normalität sei. Auf die Frage, ob sich Biden bei Macron entschuldigt habe, antwortete Psaki ausweichend: Der Präsident habe anerkannt, dass es bessere Abstimmung hätte geben können. Der Fokus des Gespräches habe auf dem weiteren Vorgehen gelegen. In der gemeinsamen Erklärung nach dem Telefonat hieß es weiter, Biden habe auch die strategische Bedeutung des französischen und europäischen Engagements im Indopazifik nochmals bestätigt und sich zu einer stärkeren Unterstützung der Anti-Terrorbemühungen der Europäer in der Sahel-Zone bekannt. Derlei Klarstellungen und Zusagen hatte Macron ebenfalls vorab verlangt. Am Mittwoch trafen am Rande der UN-Generalversammlung erstmals seit den Verwerfungen auch wieder Regierungsvertreter beider Länder aufeinander. US-Außenminister Antony Blinken und sein Amtskollege Le Drian begegneten sich bei einer Libyen-Konferenz auf Einladung von Bundesaußenminister Heiko Maas in der deutschen UN-Vertretung in New York und reichten sich die Hand. Le Drian hatte zuvor ein eigentlich ebenfalls für Mittwoch geplantes Vierer-Treffen mit Blinken, Maas und der neuen britischen Außenministerin Liz Truss platzen lassen. Maas hatte das Zustandekommen des Indopazifik-Pakts am Dienstag als ""irritierend"" und ""ernüchternd"" kritisiert. Er hofft nun auf Entspannung in dem Streit. ""Wichtig ist, dass die Irritationen, die es gibt, aus der Welt geschafft werden"", sagte Maas in New York. Es gebe zu viele Themen, bei denen Europa und die USA auf eine gute Zusammenarbeit angewiesen seien. Es sei zwar der Eindruck entstanden, dass man im Indopazifik unterschiedliche Strategien verfolge. ""Ich glaube aber, in der Substanz ist das gar nicht so. Darüber muss man jetzt sprechen, um weitere Missverständnisse in der Öffentlichkeit zu vermeiden."" © dpa-infocom, dpa:210921-99-307867/12 Emmanuel Macron Großbritannien USA Frankreich","sueddeutsche, DPA"
Handel - Hamburg. Zoll stellt Tausende Produkte aus Einwegplastik sicher,no_author,2021-09-24 08:55:10,https://www.sueddeutsche.de/wirtschaft/handel-hamburg-zoll-stellt-tausende-produkte-aus-einwegplastik-sicher-dpa.urn-newsml-dpa-com-20090101-210924-99-339442," (dpa/lno) - Mehr als 100.000 Plastik-Trinkhalme und über 121.000 Wegwerfgetränkebecher hat das Hauptzollamt Hamburg sichergestellt. Deren Einfuhr nach Deutschland ist seit Anfang Juli verboten, wie die Behörde am Freitag noch einmal betonte. Nach der Einwegkunststoff-Verbots- bzw. Kennzeichnungsverordnung ist es seitdem nicht mehr gestattet, Einwegbesteck und -geschirr sowie Trinkhalme aus Plastik auf den Markt zu bringen. Bestimmte Wegwerfprodukte wie Getränkebecher müssen zunächst gekennzeichnet werden. Die betreffenden Waren wurden bereits Ende Juli sichergestellt und stammten laut Hauptzollamt unter anderem aus China und Vietnam. Die Trinkhalme werden entweder vernichtet oder zurückgeschickt. Die Wegwerfgetränkebecher können nachgebessert und nachträglich mit der erforderlichen Kennzeichnung versehen werden, teilte das Hauptzollamt Hamburg mit. © dpa-infocom, dpa:210924-99-339442/2 Hamburg","sueddeutsche, DPA"
Fußball. US-Sportlerinnen und -Sportler nur mit Impfung nach Peking,no_author,2021-09-23 09:26:05,https://www.sueddeutsche.de/sport/fussball-us-sportlerinnen-und-sportler-nur-mit-impfung-nach-peking-dpa.urn-newsml-dpa-com-20090101-210923-99-324999,"Colorado Springs (dpa) - Amerika wird nur vollgeimpfte Sportlerinnen und Sportler zu den Olympischen Winterspielen und Paralympics in Peking im nächsten Jahr schicken. Wie das amerikanische Olympische Komitee am Mittwoch bekanntgab, müssten alle, die bei den Spielen dabei sein wollen, bis zum 1. Dezember geimpft sein gegen das Coronavirus. Angestellte und Auftragnehmer des USOPC müssen sogar bereits zum 1. November geimpft sein. Aus medizinischen oder religiösen Gründen seien aber Ausnahmen erlaubt, hieß es. Die Winterspiele beginnen am 4. Februar, die   werden mit etwa 240 Athletinnen und Athleten teilnehmen. Bei den Olympischen Spielen in Tokio zuletzt hatte es keine Impfpflicht für die US-Teilnehmerinnen und -Teilnehmer gegeben. © dpa-infocom, dpa:210923-99-324999/2 USA","sueddeutsche, DPA"
