title,author,date_published,url,article_text,source
Elektromobilität.  Chinesischer E-Autobauer Byton stoppt die Produktion ,no_author,30. Juni 2020,https://www.wiwo.de/unternehmen/industrie/elektromobilitaet-chinesischer-e-autobauer-byton-stoppt-die-produktion/25962636.html,"Die Coronakrise bringt den chinesischen Elektroautobauer   in Bedrängnis. Die vor drei Jahren mit ehrgeizigen Expansionsplänen gegründete Firma kündigte am Dienstag an, die Produktion ab 1. Juli auszusetzen, um sich neu aufzustellen. „Die neue Coronavirus-Pandemie hat die Finanzierung und den Produktionsbetrieb von   vor große Herausforderungen gestellt“, erklärte das Unternehmen, zu dessen Investoren der staatliche Autohersteller FAW und der Batteriehersteller CATL gehören. Man habe sich nach Abstimmung mit den Aktionären daher entschlossen, einen Plan zur Senkung der Personalkosten und zur strategischen Neuorganisation auf den Weg zu bringen. Byton gehört zu einer Reihe von neu gegründeten Tesla-Herausforderern, mit denen China eine eigene E-Autoindustrie aufbauen will. Dabei wurde dem Startup aus Nanjing als einem der wenigen zugetraut, auch außerhalb Chinas Fuß zu fassen. Auf mehreren Automessen, zuletzt bei der   vergangenes Jahr in Frankfurt, trommelte das Management für den Elektro-SUV M-Byte, der 2021 auch in Europa auf den Markt kommen soll. Erst im April  , dass Byton Hunderte Mitarbeiter in Santa Clara im US-Bundesstaat Kalifornien in Zwangsurlaub geschickt habe. Byton wurde im September 2017 von Future Mobility aus der Taufe gehoben, einem Unternehmen, das von ehemaligen BMW- und Nissan-Managern mitgegründet wurde. Byton Byton IAA hatte der Branchendienst Electrek berichtet",wirtschaftswoche
Sicherheitsgesetz.  Hongkonger Pro-Demokratie-Partei Demosisto löst sich auf ,no_author,30. Juni 2020,https://www.wiwo.de/politik/ausland/sicherheitsgesetz-hongkonger-pro-demokratie-partei-demosisto-loest-sich-auf/25962328.html,"Nach Berichten über die Verabschiedung des Sicherheitsgesetzes für Hongkong hat sich die junge Pro-Demokratie-Partei Demosisto aufgelöst. „Nach vielen internen Überlegungen haben wir beschlossen, alle Operationen als Gruppe unter den gegebenen Umständen einzustellen“, teilte Demosisto am Dienstag mit. Bisherige Demosisto-Mitglieder würden weiterhin nach Wegen suchen, die „totalitäre Unterdrückung“ zu durchbrechen.  und andere führende Köpfe der Hongkonger Protestbewegung angekündigt, aus der Partei auszutreten. Mit dem Sicherheitsgesetz vor der Tür sei es „kein Unsinn“ für Anhänger der Demokratiebewegung, sich um Leben und Sicherheit zu sorgen, schrieb Wong am Dienstag auf Facebook und teilte seinen Rücktritt als Generalsekretär der 2016 gegründeten Partei Demosisto mit. Ungeachtet weltweiter Kritik hatte China zuvor am Dienstag nach Medienberichten das kontroverse Gesetz zum Schutz der nationalen Sicherheit in Hongkong erlassen. Der Ständige Ausschuss des Volkskongresses habe das Gesetz einstimmig angenommen, berichteten übereinstimmend mehrere Hongkonger Medien. Es richtet sich gegen Aktivitäten, die von Peking als subversiv, separatistisch oder terroristisch angesehen werden. Auch soll es „heimliche Absprachen“ mit Kräften im Ausland bestrafen. Die demokratische Opposition fürchtet, zum Ziel des Gesetzes zu werde. Kurz zuvor hatten bereits der bekannte Demokratie-Kämpfer Joshua Wong",wirtschaftswoche
Pandemie-Potenzial.  Chinesische Forscher warnen vor neuem Schweinegrippe-Virus ,no_author,30. Juni 2020,https://www.wiwo.de/pandemie-potenzial-chinesische-forscher-warnen-vor-neuem-schweinegrippe-virus/25964358.html,"Wissenschaftler haben in China eine Variante des Schweinegrippe-Virus identifiziert, die das Potenzial für eine Pandemie unter Menschen entwickeln könnte. Das berichtet das Team um George Gao vom Chinesischen Zentrum für die Kontrolle und Prävention von Krankheiten in Peking im US-Fachblatt „Proceedings of the National Academy of Sciences“. Die Variante des Influenza-Virus H1N1, das ab 2009 als sogenannte Schweinegrippe zirkulierte, komme vor allem in Schweinen vor, könne aber auch Menschen infizieren, schreibt das Team. Die Virusvariante G4 EA H1N1 zeige alle Anzeichen als möglicher Auslöser einer Pandemie, mahnen die Wissenschaftler. Untersuchungen in Schweinebetrieben verschiedener chinesischer Provinzen hatten ergeben, dass diese Variante seit 2016 unter den Tieren vorherrscht. Zudem hatte etwa jeder zehnte von 338 untersuchten Beschäftigen in der Schweinehaltung im Blut Antikörper gegen den Erreger. Menschen könnten also grundsätzlich infiziert werden, folgert das Team. Die Forscher haben die Sorge, dass sich das Virus besser an den Menschen anpassen und sich dann vermehrt ausbreiten könnte. Zudem biete eine Immunität gegen anderen Grippe-Erreger keinen Schutz gegen diesen Genotypen. Die Wissenschaftler empfehlen daher dringend, seine Verbreitung bei Schweinen und Menschen engmaschig zu kontrollieren. Schweine gelten als wichtige Überträger von Influenza-Viren, weil sie sich mit Influenza-Viren sowohl von Vögeln als auch von Menschen anstecken können. Das als H1N1 bekannte Schweinegrippe-Virus hatte im Jahr 2009 Ängste vor einer globalen Pandemie ausgelöst, wurde aber schnell unter Kontrolle gebracht. „Wir sind derzeit zu Recht mit dem Coronavirus abgelenkt“, sagte der an der Studie beteiligte Veterinärmediziner Kin-Chow Chang von der Universität Nottingham am Dienstag der BBC. „Aber wir dürfen neue potenziell gefährliche Viren nicht aus den Augen verlieren“.",wirtschaftswoche
Öl.  Ölpreise geben etwas nach ,no_author,30. Juni 2020,https://www.wiwo.de/finanzen/boerse/oel-oelpreise-geben-etwas-nach/25961862.html,"Die Ölpreise sind am Dienstag gesunken. Die Notierungen gaben aber nur leicht nach, nachdem sie zum Wochenauftakt von US-Konjunkturdaten profitiert hatten und kräftig gestiegen waren. Ein Barrel (159 Liter) der Nordseesorte Brent kostete am Morgen 41,52 US-Dollar. Das waren 19 Cent weniger als am Vortag. Der Preis für ein Fass der amerikanischen Sorte West Texas Intermediate (WTI) fiel ebenfalls geringfügig um 18 Cent auf 39,52 Dollar. Zu Beginn der Woche hatten überraschend solide Daten vom US-Immobilienmarkt für Auftrieb bei den Ölpreisen gesorgt. Dagegen konnten Konjunkturdaten aus China, die besser ausfielen als erwartet, am Dienstagmorgen zunächst keinen weiteren Auftrieb verleihen. Beobachter sprachen von einer leichten Gegenbewegung am Ölmarkt. Im Juni hatte sich die Stimmung von chinesischen Einkaufsmanagern in der Industrie und im Bereich Dienstleistungen besser als erwartet gezeigt. Die Stimmungsdaten deuten auf eine anhaltende Erholung in der zweitgrößten Volkswirtschaft der Welt nach dem Corona-Einbruch hin. Daten zur Stimmung von Einkaufsmanagern werden an den Finanzmärkten in der Regel stark beachtet.",wirtschaftswoche
Hauptversammlung.  Heinz Hermann Thiele kehrt in den Knorr-Bremse-Aufsichtsrat zurück ,no_author,30. Juni 2020,https://www.wiwo.de/unternehmen/hauptversammlung-heinz-hermann-thiele-kehrt-in-den-knorr-bremse-aufsichtsrat-zurueck/25963326.html,"Der Milliardär Heinz Hermann Thiele ist nach vier Jahren Pause wieder in den Aufsichtsrat des Bremsenspezialisten   eingezogen. Mit ihm wurden der ehemalige Airbus-Chef und heutige Lufthansa-Aufsichtsrat Tom Enders sowie Deutsche-Börse-Chef Theodor Weimer in das Kontrollgremium des Münchner MDax-Konzerns gewählt – wie erwartet, denn Thiele und seine Familie halten 65 Prozent der Anteile. Vor zwei Wochen waren es sogar noch 70 Prozent. Aber kurz vor der  -Hauptversammlung hatte Thiele noch  -Anteile für 700 Millionen Euro verkauft. Er war seit März zum größten Aktionär der Fluggesellschaft aufgestiegen und hatte den Einstieg des Staates bei der Lufthansa kritisiert, dann aber doch zugestimmt. Die Hauptversammlung von Knorr-Bremse genehmigte mit 99,99 Prozent der Stimmen die Ausschüttung von 290 Millionen Euro Dividende – das ist fast die Hälfte des Bilanzgewinns 2019. Aufsichtsratschef Klaus Mangold erklärte, Knorr-Bremse habe keine Liquiditätsprobleme. Die Nettoverschuldung liege „nahe null“, sagte Vorstandschef Bernd Eulitz. Wegen der Coronakrise gingen Umsatz, Gewinn und Auftragseingang im ersten Quartal deutlich zurück, und das zweite Quartal sei noch schwieriger gewesen, sagte Eulitz. Trotzdem „erwarten wir ein positives Ebit 2020“ - also einen Gewinn vor Zinsen und Steuern. Es gebe keine Auftragsstornierungen, die Lieferketten seien nicht wesentlich beeinträchtigt, in China sei der Wiederanlauf gelungen. Knorr-Bremse fahre  , stocke die Bezüge der betroffenen Mitarbeiter auf 85 Prozent, plane aber keinen Personalabbau wegen Corona. Eine konkrete Prognose für das laufende Geschäftsjahr will Eulitz bei Bekanntgabe der Halbjahreszahlen im September geben. Knorr-Bremse Lufthansa Knorr-Bremse Kurzarbeit",wirtschaftswoche
Byton.  Chinas große E-Auto-Hoffnung stoppt die Produktion ,no_author,30. Juni 2020,https://www.wiwo.de/unternehmen/auto/byton-chinas-grosse-e-auto-hoffnung-stoppt-die-produktion/25962552.html,"Die Coronakrise bringt den chinesischen Elektroautobauer   in Bedrängnis. Die vor drei Jahren mit ehrgeizigen Expansionsplänen gegründete Firma kündigte am Dienstag an, die Produktion ab 1. Juli für sechs Monate auszusetzen, um sich neu aufzustellen. „Die neue Coronapandemie hat die Finanzierung und den Produktionsbetrieb von   vor große Herausforderungen gestellt“, erklärte das Unternehmen, zu dessen Investoren der staatliche Autohersteller FAW und der Batteriehersteller CATL gehören. Man habe sich nach Abstimmung mit den Aktionären daher entschlossen, einen Plan zur Senkung der Personalkosten und zur strategischen Neuorganisation auf den Weg zu bringen. Erst im April hatte der Branchendienst Electrek berichtet, dass Byton Hunderte Mitarbeiter in Santa Clara im US-Bundesstaat Kalifornien in Zwangsurlaub geschickt habe.  Byton zeigte noch kurz vor der Coronakrise zu Jahresanfang, dass der E-Autobauer viele Pfeile im Köcher hat: Der Konzern, der sich selbst lieber als Start-up bezeichnet, erfreute sich bislang der Rückendeckung chinesischer Behörden. Byton hat den deutschen Autobauern – ebenso wie zuvor   – nicht den Gefallen getan, einfach pleite zu gehen. Im Gegenteil: Die milliardenteure, 800.000 Quadratmeter große Fabrik im chinesischen Nanjing wurde zum Jahresanfang 2020 fertig. „Unser Werk in Nanjing wird, genau wie Teslas Gigafactory One in Nevada, neben Batterien für Autos auch solche Heimspeicher herstellen“,   das Projekt an. Byton wurde im September 2017 von Future Mobility aus der Taufe gehoben, einem Unternehmen, das von ehemaligen  - und  -Managern mitgegründet wurde. Byton gehört zu einer Reihe von neu gegründeten  -Herausforderern, mit denen China eine eigene E-Autoindustrie aufbauen will. Dabei wurde dem Start-up aus Nanjing als einem der wenigen zugetraut, auch außerhalb Chinas Fuß zu fassen. Auf mehreren Automessen, zuletzt bei der IAA vergangenes Jahr in Frankfurt, trommelte das Management für den Elektro-SUV M-Byte. Im Sommer 2019 hatte es dennoch erstmals Gerüchte um Finanzierungsengpässe gegeben; sogar über ein mögliches Ende des Unternehmens war spekuliert worden, nachdem der Co-Gründer Carsten Breitfeld, ein Ex-BMW-Manager, Byton in Richtung Faraday Future verlassen hatte. Dann konnte Byton neue Geldgeber finden. Erstmals kamen zum Jahreswechsel in der dritten Finanzierungsrunde nicht-chinesische Geldgeber mit an Bord, aus Japan und Südkorea. Sie sollten mindestens eine halbe Milliarde Dollar, eingerechnet nicht-monetärer Hilfen von chinesischen Regionen, Städten und anderen staatlichen Stellen „wahrscheinlich deutlich mehr“ einbringen,  . Noch in diesem Jahr sollten die ersten Exemplare des ersten Modells der Marke,  , bei chinesischen Kunden stehen. Anfang 2021 sollte Kalifornien folgen. Europa war für Ende 2021 geplant. Er sei „zu einhundert Prozent sicher“, dass Byton diese ehrgeizigen Ziele halten werde, sagte Kirchert noch im Januar. Diese Ziele sind nun überholt. Wie es nun genau weitergehen soll, dazu schwieg man sich bei Nanjing zunächst aus. Sam Abuelsamid, Principal Auto Analyst bei Navigant Research, sagte dem  , es sei möglich, dass ein großes chinesisches Unternehmen sich bei Byton einkaufe und die Produktion doch noch starte, da eine beinahe voll funktionsfähige Fabrik zur Verfügung stehe. Aber: „Ich würde kein Geld darauf setzen“, schränkte er dem Bericht nach ein. Byton Byton Tesla pries Byton-Chef Daniel Kirchert Anfang des Jahres gegenüber der WirtschaftsWoche BMW Nissan Tesla sagte der Byton-Chef der WirtschaftsWoche Anfang des Jahres das SUV M-Byte Branchenportal electrive.net",wirtschaftswoche
Die graue Eminenz von Wirecard.  Ex-Wirecard-Vorstand Marsalek will sich offenbar doch nicht stellen ,no_author,29. Juni 2020,https://www.wiwo.de/unternehmen/dienstleister/die-graue-eminenz-von-wirecard-ex-wirecard-vorstand-marsalek-will-sich-offenbar-doch-nicht-stellen/25958714.html,"Im milliardenschweren Bilanzskandal beim Zahlungsdienstleister   fahnden die Ermittler weiter nach Ex-Vorstand Jan Marsalek. Der Manager, der das Unternehmen an der Seite des früheren Konzernchefs Markus Braun rund 20 Jahre lang geprägt hat, muss Berichten zufolge mit einer Verhaftung rechnen. Die Staatsanwaltschaft München ermittelt gegen ihn ebenso wie gegen den früheren Vorstandschef Markus Braun wegen des Verdachts der Bilanzfälschung und der Marktmanipulation. Insider rechnen mit einer Ausweitung der Ermittlungen auch auf Betrug, der mit bis zu zehn Jahren Gefängnis bestraft werden kann. Während sich   und weitere Auflagen von einer Untersuchungshaft verschont blieb, scheint sich Marsalek nicht der deutschen Justiz ausliefern zu wollen.  Unterdessen herrscht vor allem  . Nach Daten der philippinischen Einwanderungsbehörde reiste der frühere Wirecard-Vorstand am Dienstag in das südostasiatische Land ein und am Mittwoch über den Flughafen Cebu weiter nach China. Allerdings zeigten die Videoaufzeichnungen des Flughafens nicht, dass Marsalek das Land verlassen habe, sagte Justizminister Menardo Guevarra am Donnerstag dem Fernsehsender CNN Philippines. Zudem gilt in China wegen der Coronakrise eigentlich noch immer eine Einreisesperre für Ausländer.  Die Staatsanwaltschaft München ermittelt bereits seit Wochen gegen den Österreicher, Ex-Vorstandschef Braun und zwei weitere noch amtierende Vorstände. Auch die Philippinen ermittelten gegen Marsalek und weitere Personen, die möglicherweise in den Wirecard-Bilanzskandal verwickelt sind. Der öffentlichkeitsscheue Marsalek galt als graue Eminenz von Wirecard. Er kam im Jahr 2000, zwei Jahre vor Braun, zu dem Unternehmen. Er machte dort rasch Karriere und war in den vergangenen Jahren im Vorstand für das Tagesgeschäft verantwortlich, darunter auch die Asien-Aktivitäten. Vergangene Woche Montag war er fristlos entlassen worden. Wie die Nachrichtenagentur Reuters von Insidern erfuhr, stehen deutsche Strafverfolger und Marsalek direkt oder indirekt im Kontakt miteinander. Die Staatsanwaltschaft München und Marsaleks Anwalt in München wollten sich nicht äußern. Grund eines Haftbefehls kann außer Fluchtgefahr auch die Befürchtung der Justiz sein, dass der Beschuldigte Beweise vernichtet oder Zeugen beeinflusst. Zudem muss die Staatsanwaltschaft einen dringenden Tatverdacht hegen. Wirecard Ex-Wirecard-Chef Markus Braun vergangene Woche allerdings stellte und nach einer vorübergehenden Festnahme gegen 5-Millionen-Euro-Kaution Wie die „Tagesschau“ unter Berufung auf Recherchen von WDR, NDR und „Süddeutsche Zeitung“ aus Kreisen der Prozessbeteiligten berichtet, werde sich der langjährige Vorstand der Wirecard AG nun doch nicht der Justiz stellen. Rätselraten über den Aufenthaltsort Marsaleks",wirtschaftswoche
Nach Sicherheitsgesetz.  Hongkonger Protestführer Joshua Wong erklärt Rücktritt aus Partei ,no_author,30. Juni 2020,https://www.wiwo.de/politik/ausland/nach-sicherheitsgesetz-hongkonger-protestfuehrer-joshua-wong-erklaert-ruecktritt-aus-partei/25961834.html,"Nach Berichten über die Verabschiedung des Sicherheitsgesetzes für   haben Joshua Wong und andere Führer der Demokratiebewegung den Rücktritt aus ihrer Partei verkündet. Mit dem Sicherheitsgesetz vor der Tür sei es „kein Unsinn“ für Anhänger der Demokratiebewegung, sich um Leben und Sicherheit zu sorgen, schrieb Wong am Dienstag auf Facebook und Twitter und teilte seinen Rücktritt als Generalsekretär der 2016 gegründeten Partei Demosisto an. Der weltweit bekannte Aktivist schrieb weiter, er glaube nicht, dass sich an der Beharrlichkeit der Hongkonger durch das neue Gesetz oder andere „drakonische Gesetze“ etwas ändern werde. Er wolle weiterhin in Hongkong bleiben, „bis sie mich zum Schweigen bringen und auslöschen.“ Auch die führenden Protest-Gesichter Nathan Law und Agnes Chow kündigten ihren Rücktritt an. Ungeachtet weltweiter Kritik hatte China zuvor am Dienstag nach Medienberichten das kontroverse Gesetz zum Schutz der nationalen Sicherheit in Hongkong erlassen. Der Ständige Ausschuss des Volkskongresses habe das Gesetz einstimmig angenommen, berichteten übereinstimmend mehrere Hongkonger Medien. Es richtet sich gegen Aktivitäten, die von Peking als subversiv, separatistisch oder terroristisch angesehen werden. Auch soll es „heimliche Absprachen“ mit Kräften im Ausland bestrafen. Die demokratische Opposition fürchtet, zum Ziel des Gesetzes zu werden. Hongkong",wirtschaftswoche
Neues Sicherheitsgesetz.  Die USA stoppen Rüstungsexporte nach Hongkong ,no_author,30. Juni 2020,https://www.wiwo.de/politik/ausland/neues-sicherheitsgesetz-die-usa-stoppen-ruestungsexporte-nach-hongkong/25961240.html,"Wegen des von China geplanten restriktiven Sicherheitsgesetzes für Hongkong stoppt die US-Regierung den Export amerikanischer Rüstungsgüter in die eigentlich autonome Metropole. Zudem werde die Ausfuhr von Technologien, die der Rüstung oder dem Militär dienlich sein könnten, künftig den gleichen Beschränkungen unterliegen wie auch die Exporte nach China, erklärte Außenminister Mike Pompeo am Montag. Der Grund sei die Untergrabung von Hongkongs Autonomie durch die kommunistische Führung in Peking. „Wir können nicht mehr unterscheiden zwischen dem Export kontrollierter Waren nach Hongkong oder auf das chinesische Festland“, erklärte Pompeo. Es sei daher im Interesse der nationalen Sicherheit der  , die Exporte zu begrenzen. Die USA könnten nicht das Risiko eingehen, dass solche Güter dem chinesischen Militär in die Hände fielen, dessen wichtigste Aufgabe es sei, „die Diktatur“ der kommunistischen Partei aufrechtzuerhalten, erklärte Pompeo. Die US-Regierung hatte bereits Ende Mai angekündigt, der chinesischen Sonderverwaltungsregion Hongkong wegen der zunehmenden Einmischung Pekings einen vorteilhaften Rechtsstatus streichen zu wollen. Neben den Exportkontrollen soll dies auch Zölle und die Vergabe von Visa betreffen, wie es damals hieß. Die frühere britische Kronkolonie wird seit der Rückgabe 1997 an China weitgehend autonom nach dem Grundsatz „ein Land, zwei Systeme“ verwaltet. Die USA sehen   aber eine klare Verletzung von Hongkongs Autonomie und Freiheitsrechten. Mit dem Vorhaben plant Peking, das Hongkonger Parlament zu umgehen. USA in dem von Peking geplanten Sicherheitsgesetz",wirtschaftswoche
Einkaufsmanagerindex.  Chinas Industrie zieht stärker an als erwartet ,no_author,30. Juni 2020,https://www.wiwo.de/einkaufsmanagerindex-chinas-industrie-zieht-staerker-an-als-erwartet/25961520.html,"Chinas Industrie hat im Juni die Erwartungen der Experten übertroffen und die höchste Zunahme seit drei Monaten markiert. Der amtliche Einkaufsmanagerindex (PMI) stieg auf 50,9 Punkte von 50,6 Punkten im Mai, wie das Statistikamt am Dienstag mitteilte. Damit liegt das Barometer über der Marke von 50 Zählern, ab der anziehende Geschäfte signalisiert werden. Analysten hatten für Juni eigentlich mit einem Rückgang auf 50,4 Punkte gerechnet. Der Dienstleistungssektor wiederum wuchs so schnell wie seit sieben Monaten nicht mehr. Der entsprechende Index für Juni lag bei 54,4 Punkten nach 53,6 Punkten im Mai.",wirtschaftswoche
