title,author,date_published,url,article_text,source
Projekt Seidenstraße.  Wie China seine Kreditnehmer knebelt ,Bert Losse,31. März 2021,https://www.wiwo.de/politik/ausland/projekt-seidenstrasse-wie-china-seine-kreditnehmer-knebelt/27058290.html,"So etwas nennt man wohl einen wissenschaftlichen Scoop: Einem internationalen Ökonomenteam ist es gelungen, 100 Originalverträge chinesischer Gläubiger einzusehen, die diese im Rahmen des Projekts „Neue Seidenstraße“ vor allem mit Entwicklungsländern angeschlossen haben.  Die Kontrakte enthalten „ungewöhnliche Geheimhaltungsbestimmungen sowie Klauseln, die zulasten anderer internationaler Gläubiger gehen“, berichtet jetzt das an der Studie beteiligte Kieler Institut für Weltwirtschaft (IfW). Chinesische Banken positionierten sich in ihren Partnerstaaten „bewusst als vorrangige Gläubiger und schränken die Handlungsoptionen der Schuldnerländer im Falle einer Zahlungsunfähigkeit teilweise stark ein“. Der Schuldendienst sei zudem „oft durch Auslandskonten und Projekteinnahmen abgesichert“.  Neben dem IfW waren an der Studie das amerikanische Peterson Institute for International Economics, das Center for Global Development sowie das auf Entwicklungshilfe spezialisierte Forschungsinstitut AidData beteiligt. Laut Studie verlangt fast ein Drittel der Verträge, dass Kreditnehmer hohe Guthaben auf Bank- oder Treuhandkonten schaufeln müssen, die von chinesischen Banken bei einem Zahlungsausfall beschlagnahmt werden können. Relevant für westliche Staaten ist zudem das häufig in den Verträgen stehende Verbot für Entwicklungsländer, die eigenen Schulden in Abstimmung mit anderen Gläubigern umzustrukturieren. „Chinas Praktiken erschweren es Ländern, die sich beispielsweise aufgrund der Coronapandemie in einer finanziellen Notlage befinden, ihre Schuldensituation in den Griff zu bekommen“, warnt IfW-Ökonom Christoph Trebesch.  An dem von Chinas Präsident Xi Jinping 2013 initiierten und mit großer Energie vorangetriebenen globalen Infrastrukturprojekt sind mittlerweile über 100 Länder auf vier Kontinenten beteiligt. Mit hohen Krediten finanziert China dort unter anderem Straßen, Bahntrassen, Häfen und Kraftwerke. Zugleich erwirbt Peking entlang zentraler Land- und Seehandelsrouten systematisch Beteiligungen an strategischer Infrastruktur. Bekommen Gläubiger Probleme mit der Rückzahlung, greift Peking rigoros durch.  Sri Lanka etwa hat in den vergangenen Jahren mit chinesischem Geld und Knowhow seine Infrastruktur modernisiert – musste aber 2017 das Areal um den Hafen Hambantota an einen chinesischen Eigner abtreten. Und zwar gleich für 99 Jahre. ",wirtschaftswoche
Archegos Capital.  Die Liga der ehrenwerten Zocker ,Christof Schürmann,30. März 2021,https://www.wiwo.de/finanzen/geldanlage/archegos-capital-die-liga-der-ehrenwerten-zocker/27053784.html,"Seit Freitag hat sich der Aktienkurs von GSX Techedu mehr als halbiert. Das wäre vielleicht nicht weiter aufregend, gehörte die Aktie nicht zum Portfolio von Archegos Capital. Der Hedgefonds hat gerade Schockwellen an den Märkten ausgelöst, weil er Sicherheiten für seine auf Kredit gekauften Aktien, darunter eben GSX Techedu, nicht leisten konnte.   GSX Techedu ist ein chinesisches Unternehmen für Bildungstechnologie und in Börsenkreisen deshalb nicht unbekannt, weil es seit längerem Zweifel am Zahlenwerk gibt. Muddy Waters etwa, ein anderer Hedgefonds, der auch in Deutschland für Attacken auf Unternehmen wie etwa den Werbevermarkter   bekannt ist, bezweifelt die Seriosität von GSX.  Nutzerzahlen sollen geschönt sein, so der Hauptvorwurf. Es handele sich bei GSX „um einen nahezu vollständigen Betrug“, so Muddy Waters im Mai 2020.  Es sei sehr wahrscheinlich, dass 70 Prozent der Benutzer gefälscht seien, will der Hedgefonds bei einer umfangreichen Analyse der  Benutzer- und Anwesenheitsdatendateien herausgefunden haben. „Aufgrund der nahezu vollständigen Fälschung von Benutzern gehen wir davon aus, dass der betrügerische Teil des Umsatzes von GSX mindestens dem Prozentsatz betrügerischer Benutzer entspricht“, so Muddy Waters. Dazu gäbe es weitere Merkwürdigkeiten, die GSX selbstverständlich allesamt bestreitet. Der Kursverlauf jedenfalls entspricht auch nicht gerade dem, was an der Börse üblich ist. Erst im Laufe dieses Januars jazzten Spekulanten den Kurs etwa plötzlich hoch von 46 auf über 140 Dollar. Mit an Bord das Who is Who der Finanzszene. Hauptaktionär ist nach jüngsten Angaben des Datenanbieters Bloomberg   mit knapp 22 Prozent der Anteile.   folgt mit 10,1 Prozent, die Schweizer   mit 8,05 Prozent,   mit 7,39 Prozent und die   mit 5,97 Prozent. Die beiden letzteren Bankriesen warnten nun vor Milliardenverlusten aus den Finanzgeschäften mit Archegos Capital: Sie hatten die Wetten von Archegos Capital im großen Stil mitfinanziert, allein bei GSX gingen nun in der Spitze bis zu 20 Milliarden Dollar an Marktwert den Bach herunter. Verluste, die auch die   (4,1 Prozent GSX-Anteil),   (3,37 Prozent) oder Blackrock (2,08 Prozent) mittragen.  Archegos hatte Aktien, darunter GSX-Anteile, an Banken und Broker verpfändet – als Sicherheit. Ganz offenbar haben die Pfänder die Papiere mit zu wenig Puffer zu den jeweiligen Börsenpreisen akzeptiert. Das ist entweder ein Anfängerfehler oder die nackte Gier auf möglichst viel Geschäft. Wie teuer eine solche Gier ist, das erfährt die Finanzwelt aktuell nicht gerade zum ersten und ganz sicher nicht zum letzten Mal. Das hat unter anderem Ängste über ein Platzen einer Blase bei Techwerten ausgelöst. Ströer Goldman Sachs Morgan Stanley UBS Nomura Credit Suisse Bank of America JP Morgan",wirtschaftswoche
Rohstoffe.  Ölpreise legen leicht zu – Treffen der Opec plus im Blick ,dpa ,31. März 2021,https://www.wiwo.de/finanzen/boerse/rohstoffe-oelpreise-legen-leicht-zu-treffen-der-opec-plus-im-blick/27057474.html,"Die Ölpreise haben am Mittwochmorgen leicht zugelegt. Ein Barrel (159 Liter) der Nordseesorte Brent kostete 64,44 US-Dollar. Das waren 24 Cent mehr als am Vortag. Der Preis für ein Fass US-amerikanisches Rohöl der Marke West Texas Intermediate (WTI) stieg um 29 Cent auf 60,84 Dollar. Nachdem sich die Lage in dem tagelang durch ein Schiff versperrten Suezkanal zu normalisieren scheint, rückt ein Treffen großer Ölförderländer zunehmend in den Mittelpunkt. Am Donnerstag treffen sich Delegierte des Erdölverbunds Opec plus, um über ihre Förderpolitik zu beraten. Die Länder rund um die Ölgiganten Saudi-Arabien und   stehen vor einer schwierigen Entscheidung. Auf der einen Seite sprechen die Wachstumsaussichten für die großen Volkswirtschaften   und China für eine höhere Ölnachfrage. Andererseits sind die Aussichten für die Eurozone ungünstiger. Ausdruck dieser unsicheren Ausgangslage sind auch die zuletzt stark schwankenden Preise am Rohölmarkt. Russland USA",wirtschaftswoche
"Nikkei, Topix und Co..  Anleger in Asien machen Kasse ",no_author,31. März 2021,https://www.wiwo.de/finanzen/boerse/nikkei-topix-und-co-anleger-in-asien-machen-kasse/27057446.html,"Ein erneuter Anstieg der Anleiherenditen hat die Anleger an den asiatischen Börsen zur Wochenmitte vorsichtig gemacht. In Tokio fiel der Nikkei-Index am Mittwoch 0,6 Prozent auf 29.264 Punkte. Der breiter gefasste Topix-Index sank um 1,2 Prozent. Anleger machten vor allem bei Finanzwerten und Bergbauaktien Kasse. An der Wall Street hatten die billionenschweren Corona-Staatshilfen die Spekulationen auf eine anziehende Inflation wieder angeheizt und die Renditen der zehnjährigen T-Bonds zeitweise auf ein 14-Monats-Hoch von plus 1,776 Prozent getrieben. Steigende Anleiherenditen bedeuten höhere Finanzierungskosten für Staaten und Unternehmen. Das trifft vor allem wachstumsstarke Tech-Firmen Sorgen bereitete den Anlegern auch die Schieflage des US-Hedgefonds Archegos Capital. „Für einige ist dies eine rechtzeitige Erinnerung daran, dass die Pandemierisiken zwar nachlassen, die Finanzmarktrisiken jedoch weiterhin hoch sind“, schrieben die Analysten des Vermögensverwalters ANZ. Nach dreitägiger Kursrally nahmen Anleger auch in China Gewinne mit. Die Börse in Schanghai fiel um 0,6 Prozent. Vor allem Aktien aus den Sektoren Immobilien und Grundstoffe wurden verkauft. Von der Konjunktur kamen hingegen gute Nachrichten: Chinas verarbeitendes Gewerbe ist im März so schnell wie seit drei Monaten nicht mehr gewachsen. Der offizielle Einkaufsmanagerindex (PMI) stieg auf 51,9 von 50,6 im Februar. Die sich verbessernde Auslandsnachfrage verlieh der soliden wirtschaftlichen Erholung der Volksrepublik durch steigende Exportaufträge weiteren Schwung.",wirtschaftswoche
Sonderverwaltungszone.  China verabschiedet Änderung im Grundgesetz Hongkongs ,no_author,30. März 2021,https://www.wiwo.de/politik/ausland/sonderverwaltungszone-china-verabschiedet-aenderung-im-grundgesetz-hongkongs/27053148.html,"China hat am Dienstag eine Änderung des Grundrechts in   gebilligt, die Peking größere Kontrolle über die Zusammensetzung des Parlaments in der Sonderverwaltungszone einräumt. Der Ständige Ausschuss des Nationalen Volkskongresses verabschiedete die Änderungen am Abschlusstag einer zweitägigen Sitzung, wie die amtliche Nachrichtenagentur Xinhua berichtete. Einzelheiten wurden zunächst nicht mitgeteilt. Der chinesische Volkskongress hatte Mitte März dafür gestimmt, dass ein der Pekinger Staatsführung nahe stehendes Komitee die Chefin oder den Chef der Hongkonger Regierung und einen „relativ großen Anteil“ der Abgeordneten des Parlaments der Sonderverwaltungszone ernennen darf. Um wie viele Sitze es geht, wurde zunächst nicht mitgeteilt. Das Parlament wird zudem von 70 auf 90 Sitze vergrößert. Es wird erwartet, dass durch die neuen Bestimmungen in Hongkong der Anteil der Parlamentarier sinkt, die von der Bevölkerung gewählt werden. Bislang wird die Hälfte des sogenannten Legislativrats direkt gewählt. Zudem wird ein Ausschuss geschaffen, der die Qualifikationen von Kandidaten für öffentliche Ämter in Hongkong überprüfen soll. Damit soll nach den Worten der chinesischen Regierung sichergestellt werden, dass die Stadt von „Patrioten“ regiert wird. Die chinesische Staatsführung festigt damit ihre Kontrolle über die einstige britische Kronkolonie. Seit 2019 ist sie bereits mit harter Hand gegen Demonstrierende vorgegangen, die mehr Demokratie fordern. Ihr ist deshalb vorgeworfen worden, die Autonomie zu untergraben, die China zugesagt hatte, als es Hongkong 1997 zurückerhielt. Die kommunistische Führung bestreitet das. : Chinas Regierung wird nervös: Wie Peking seine Fintechs an die kurze Leine nimmt Hongkong",wirtschaftswoche
Weltwirtschaft.  Keine Chance dem Nationalismus! ,Rolf Langhammer,30. März 2021,https://www.wiwo.de/politik/konjunktur/weltwirtschaft-keine-chance-dem-nationalismus-/27052692.html,"Ein Land muss wirtschaftlich robust sein, um Schocks von außen abzuwehren. Wer diese Position vertritt, kann sich der Zustimmung der Mehrheit der Bevölkerung sicher sein. In Zeiten von Corona gilt das ganz besonders. So ist es keine Überraschung, dass die Forderung nach mehr Resilienz derzeit ganz oben auf der Prioritätenliste der Politiker steht. Resilienz bedeutet, die Rahmenbedingungen so zu gestalten, dass im Fall exogener Schocks wirtschaftliche Verluste minimiert und tiefe Rezessionen vermieden werden. Die Forderung nach Resilienz ist nicht neu. Ob Wirtschaftskrisen, Umweltschäden oder Sorgen vor einer zu starken Erderwärmung – immerzu fordern Politiker, die Wirtschaft widerstandsfähiger zu gestalten.  Aktuell erschallt die Forderung nach mehr Resilienz im Kontext von drei Entwicklungen: der Covid-19 Pandemie, der geopolitischen Rivalität zwischen China und dem Westen und der Einhaltung von Sozial- und Umweltstandards bei der Produktion in Entwicklungsländern. Anders als früher wird Resilienz dabei  nicht als mehr als ein gemeinsames Ziel aller Länder zur Verhinderung globaler Krisen verstanden. Stattdessen gehen die wichtigsten Akteure der   bei allen drei Zielen getrennte Wege. Sie errichten Grenzbarrieren, trennen Märkte und kontrollieren und beschränken die Wahl der Lieferketten. Mehr Resilienz bedeutet daher heute Re-Nationalisierung. Die Regierungen der führenden Handelsnationen verpflichten ihre Unternehmen dazu, Beschaffungs- und Zielmärkte auf Vereinbarkeit mit politischen Zielen zu prüfen und im Zweifelsfall auf bestimmte Märkte zu verzichten.  Besonders deutlich wird dies bei der Coronapandemie. Die neue WTO-Generaldirektorin Okonjo-Iweala bemüht sich bislang vergeblich, zu einer Vereinbarung über nichtdiskriminierenden Handel mit medizinischen Produkten zu kommen. Stattdessen werden Exporte kontrolliert und Exportverbote erwogen. Das Streben nach Resilienz gipfelt in nationalen Zielen, die Einfuhr von Impfstoffen zu maximieren und deren Ausfuhr zu minimieren. Derartige Ziele sind unvereinbar mit den Regeln der Welthandelsordnung der Nachkriegszeit und benachteiligen ärmere Länder in eklatanter Weise beim Zugang zu diesen Produkten. Dieses My-Country-First-Verhalten der reichen Länder in der Pandemie wird die Einkommensschere zwischen arm und reich weit über das hinaus öffnen, was die Pandemie selbst verursacht.  Auch im Konflikt zwischen den   und China entpuppt sich das Streben nach Resilienz als Förderprogramm für den Protektionismus. Beide Länder wollen die heimische Wertschöpfung auf ihrem Territorium zu Lasten des Handels erhöhen, um Abhängigkeiten zu mindern und dem anderen Land Zugang zu Know How in der Digitalwirtschaft zu verbauen. Beide Akteure fordern und fördern die Produktion auf dem heimischen Markt durch ausländische Investoren, weil sie sich davon mehr Kontrolle über den Technologietransfer versprechen als durch den Handel. Daher werden die künftigen Konflikte eher im Bereich der Behandlung von ausländischen Investitionen als im Bereich der tarifären und nichttarifären Handelsbarrieren liegen. Die Partnerländer der beiden Akteure sollen gezwungen werden, sich zwischen den wirtschaftspolitischen Vorstellungen Chinas und der USA zu entscheiden und sich dem einen oder anderen Machtzentrum anzuschließen. Sicherheitspolitische Überlegungen, Abhängigkeit von Finanzressourcen der beiden Akteure und ihre Nachfragemacht sind wichtige Faktoren dafür, wie dicht die Handelspartner an dem einen oder anderen Machtzentrum liegen. Die EU wird sich dabei trotz des ausverhandelten Abkommens mit China über Investitionen (CAI) letztlich dem amerikanischen Machtzentrum zuwenden. Zu unsicher ist angesichts der Kontroversen der EU mit China über Menschenrechte in Xinjiang und Hongkong und über die von China noch nicht ratifizierten Grundrechte für Arbeitnehmer, ob das Abkommen überhaupt von allen EU-Staaten ratifiziert wird und damit in Kraft tritt.  Die EU-Öffentlichkeit stellt sich klar hinter den neuen US-Präsidenten Joe Biden und gegen Präsident Xi Jinping.  Auch ist der EU nicht verborgen geblieben, dass China in der Vergangenheit versucht hat, einige EU-Staaten für sich zu gewinnen, um so gemeinsame Positionen der EU zu verhindern. Die Regierung Biden tut dies nicht. Vielmehr drängt sie die EU dazu, gemeinsame Positionen gegen China zu entwickeln. Mit der gegenseitigen Aussetzung von Handelsbarrieren, die im  -Airbus-Streit errichtet  wurden, sind wichtige Signale für Gemeinsamkeiten vermittelt worden.  Zudem besitzen die USA mit der NATO und der Bedeutung des amerikanischen Marktes für Europa zwei Hebel. Das ist ein wichtiger Trumpf gegen den einen Hebel Chinas: der Bedeutung seines Marktes insbesondere für das EU-Mitglied Deutschland. Resilienz bedeutet hier, dass Deutschland einer transatlantischen EU-Politik gegen China auf leisen Sohlen folgen wird. Die daraus für die deutsche Wirtschaft erwachsenen Kosten können durchaus hoch sein, wenn sie von der Liberalisierung in der von China beherrschten Wirtschaftsgemeinschaft RCEP in Ostasien weniger profitieren kann als bei einer Äquidistanz der EU zu den USA und China.  Der dritte Bereich, in dem Resilienz eingefordert wird, betrifft die internationalen Lieferketten. Länder wie Frankreich, Großbritannien und künftig auch Deutschland und die EU verlangen durch Lieferkettengesetze von ihren Unternehmen den Schutz von Arbeitnehmerrechten und  umweltschonende Produktionsweisen auf allen Produktionsebenen im Ausland.  Zwar können die reichen Länder darauf verweisen, dass dies keine unzulässige Einwirkung von außen auf arme Länder sei, da diese zumeist auch die Schutzkonventionen der Internationalen Arbeitsorganisation (ILO) ratifiziert hätten. Sie wissen aber auch, dass diese Konventionen häufig reine Papiertiger sind und in armen Ländern nicht umgesetzt werden.  Auch hier wird mit der Forderung nach mehr Resilienz die Spaltung von Märkten in Kauf genommen: zwischen formalen und informellen Arbeitsmärkten in armen Ländern. Die formalen Märkte werden in diese Sorgfaltspflichten eingebunden, die informellen Märkte entziehen sich ihr. Auf Letzteren könnte sich die Lage der Arbeitskräfte verschlechtern, wenn sie etwa durch den Rückzug internationaler Investoren oder durch die Umstellung der Unternehmen auf kapitalintensivere Produktionsweisen ihre Jobs verlieren und in die Schattenwirtschaft abgedrängt werden. So könnte sich der berühmte Satz der britischen Ökonomin Joan Robinson bewahrheiten: „Nur Eines ist schlimmer als ausgebeutet zu werden: nicht ausgebeutet zu werden.” Das Streben nach mehr Resilienz im Kontext von Corona, geopolitischen Konflikten und dem Streben nach sozialen Mindeststandards in Entwicklungsländern nimmt allen Unternehmen und allen Bürgern Wahlmöglichkeiten und damit auch Einkommen. Dagegen steht die These, weniger Wahlmöglichkeiten seien in Kauf zu nehmen, weil sie sich zukünftig durch mehr Sicherheit dank schärferer Kontrollauflagen und höherer Grenzzäune mehr als bezahlt machten. Diese Hoffnung auf eine stabile Balance zwischen individueller Freiheit einerseits und nationalpolitischer Sorgfaltspflicht andererseits ist aber trügerisch. Die Wirtschaftsgeschichte bietet hinreichend Evidenz für die Eskalationsspirale des Nationalismus und ihre katastrophalen Konsequenzen für die schwächsten Mitglieder der Weltgemeinschaft.  Eine neue Spirale gilt es zu verhindern. Weltwirtschaft USA Boeing",wirtschaftswoche
Der Krise zum Trotz.  Arbeitslosigkeit sinkt im März saisonbedingt ,no_author,31. März 2021,https://www.wiwo.de/politik/deutschland/der-krise-zum-trotz-arbeitslosigkeit-sinkt-im-maerz-saisonbedingt/27057584.html,"Die Zahl der Arbeitslosen in   ist im März dank einer Frühjahrsbelebung am   im Vergleich zum Februar um 77.000 zurückgegangen. Insgesamt waren im März 2,827 Millionen Menschen ohne Job, 492.000 mehr als zur gleichen Zeit des Vorjahres, teilte die   am Mittwoch in Nürnberg mit. Die Arbeitslosenquote betrug 6,2 Prozent. „Im März gab es am Arbeitsmarkt eine spürbare Frühjahrsbelebung“, sagte der Vorstandsvorsitzende der Bundesagentur, Detlef Scheele. „Und das, obwohl die Infektionen steigen und die Einschränkungen für einige Wirtschaftsbereiche nach vor bestehen“, fügte er hinzu. Allerdings greift die Erhebung der Daten der Bundesagentur nur bis zum 12. März. Insgesamt zeige der Arbeitsmarkt dennoch deutliche Spuren der seit einem Jahr andauernden Coronakrise, sagte Scheele. Unter anderem bleibt die   hoch. In der Zeit vom 1. bis 25. März hätten Betriebe für 197.000 Menschen Kurzarbeit angezeigt. Ob diese dann tatsächlich realisiert wird, kann erst mit einigen Wochen Verzögerung ermittelt werden. Die letzten verlässlichen Daten reichen in den Januar zurück. Im ersten Monat des Jahres 2021 wurde demnach für 2,85 Millionen Menschen Kurzarbeitergeld gezahlt. Der Höchststand bei der Kurzarbeit war im April 2020 mit knapp sechs Millionen Menschen erreicht worden, danach ging die Kurzarbeit bis November 2020 stetig zurück.  Deutschland Arbeitsmarkt Bundesagentur für Arbeit Kurzarbeit Durch den im Herbst vergangenen Jahres verhängten Lockdown steigt die Kurzarbeit seit November wieder, vor allem in Branchen wie Gastronomie, Handel und Touristik.",wirtschaftswoche
Rekordhoch.  Dax erstmals über 15.000 Punkten ,no_author,30. März 2021,https://www.wiwo.de/finanzen/boerse/rekordhoch-dax-erstmals-ueber-15-000-punkten/27055554.html,"Beflügelt von Hoffnungen auf einen globalen Konjunkturaufschwung und eine Eindämmung der Corona-Pandemie hat der deutsche Aktienmarkt Rekordhöhen erklommen. Der Dax knackte am Dienstag erstmals die Marke von 15.000 Punkten. Der deutsche Aktienmarkt profitiert von der Aussicht auf anhaltende Niedrigzinsen, von starken amerikanischen Börsen und dem riesigen Konjunkturpakt in den USA. Zudem sorgten gute Nachrichten vom Suezkanal, wo ein Containerschiff die wichtige Wasserstraße tagelang blockiert hatte, für Aufatmen. Der Dax schloss mit 15.008,61 Punkten, das ist ein Plus von 1,29 Prozent zum Vortag. Im Handelsverlauf war er bis auf 15.029,70 Punkte gestiegen. Seit dem Zwischentief Ende Oktober beläuft sich das Plus auf rund 30 Prozent. Erst am 7. Januar hatte der Dax die Hürde von 14.000 Punkten genommen. Durch den Suezkanal, einem Nadelöhr für den Welthandel, fahren nach einer tagelangen Blockade durch einen quergestellten Riesenfrachter wieder Schiffe. Trotz des   kann es nach Angaben von Reedereien  . Zuletzt galt die Havarie des Frachters als wachsendes Problem für die Lieferketten zwischen Europa und Asien. Gute Nachrichten aus den USA, wo die Börsen mit fortschreitenden Impfungen Rekorde erreichen, stützen die Aktienmärkte seit Wochen. So hatte die US-Notenbank Fed Mitte März ihre Prognosen für das Wirtschaftswachstum angesichts schneller Corona-Impfungen angehoben. Die US-Regierung stützt die heimische Wirtschaft ferner mit immensen Konjunkturhilfen von rund 1,9 Billionen US-Dollar (rund 1,6 Billionen Euro) – fast zehn Prozent der jährlichen Wirtschaftsleistung. Von einer starken amerikanischen Wirtschaft profitieren auch deutsche Unternehmen, für die die USA ein wichtiger Exportmarkt sind. Mit China hat ein weiterer bedeutsamer Abnehmer deutscher Ausfuhren die Pandemie ohnehin weitgehend hinter sich gelassen. Auch an den Niedrigzinsen, die seit Jahren den Börsen Auftrieb geben, dürfte sich so schnell nichts ändern. Die US-Notenbank Fed setzt im Kampf gegen die Corona-Krise unverändert auf eine extrem lockere Geldpolitik – trotz höherer Inflationsaussichten. Die Bank of England und die Europäische Zentralbank (EZB) setzen ebenfalls ihre lockere Geldpolitik fort. Die EZB will das Tempo ihrer Anleihenkäufe im zweiten Quartal noch deutlich erhöhen, wie Präsidentin Christine Lagarde ankündigte. Für die Börse bedeuten niedrige Zinsen ein gutes Umfeld, da Investoren auf der Suche nach Rendite kaum Alternativen haben und daher viel Geld in Aktien anlegen. Die Corona-Krise mit steigenden Infektionszahlen in Deutschland hat die Börse unterdessen weitgehend kalt gelassen, auch wenn führende Ökonomen ihre Prognose für die deutsche Wirtschaft in diesem Jahr gesenkt haben. Die Industrie kommt bisher gut durch die Pandemie, was die Konjunktur stützt. Unternehmen blicken zuversichtlicher auf das Frühjahr. Der Ifo-Geschäftsklimaindex stieg im März den zweiten Monat in Folge und erreichte den höchsten Wert seit Juni 2019. Endes der Blockade noch mehrere Tage dauern, bis sich die gesamte Warteschlange aufgelöst hat .",wirtschaftswoche
Pandemie.  China weist WHO-Vorwurf zur Corona-Studie zurück ,no_author,31. März 2021,https://www.wiwo.de/politik/ausland/pandemie-china-weist-who-vorwurf-zur-corona-studie-zurueck/27058430.html,"China weist den Vorwurf der Weltgesundheitsorganisation WHO zurück, wonach die Regierung in Peking Erkenntnisse über die Entstehung des Coronavirus unter Verschluss hält. Solche Anschuldigungen entbehrten jeglicher Grundlage, sagte der Mitautor der gemeinsamen Studie, Liang Wannian, am Mittwoch in Peking. „Natürlich können nach chinesischem Recht einige Daten nicht mitgenommen oder fotografiert werden“, sagte Liang. „Aber als wir das   analysiert haben, konnte jeder die Daten, das Material sehen, wir haben das alles zusammen gemacht.“ Bei der gemeinsamen Studie von WHO und chinesischen Behörden war den vorläufigen Ergebnissen zufolge herausgekommen,   über eine andere Tierart auf den Menschen übertragen wurde. Allerdings brauche es weitere Analysen und Studien zu dem Thema. WHO-Chef Tedros Adhanom Ghebreyesus warf China in diesem Zusammenhang vor, den internationalen Forschern Daten vorenthalten zu haben. Liang wies zudem Vorwürfe zurück, China habe eine Veröffentlichung der Erkenntnisse verzögern wollen. „Die ganze Zeit sind wir dem Prinzip 'Qualität zuerst' gefolgt“, sagte er. „Jeder Satz, jede Schlussfolgerung, alle Daten“ hätten von beiden Seiten vor einer Veröffentlichung bestätigt werden müssen. zusammen in Wuhan dass das Virus von Fledermäusen",wirtschaftswoche
 Warum Anleger China nicht länger ignorieren sollten,no_author,31. März 2021,https://www.wiwo.de/finanzen/geldanlage/geldanlage-global-warum-anleger-china-nicht-laenger-ignorieren-sollten/27056124.html,"Die kurze Antwort lautet nein. China ist zu groß und zu bedeutend geworden, um es in Portfolios nicht zu berücksichtigen. In den vergangenen 20 Jahren hat sich Chinas Wirtschaft verfünffacht und entspricht heute etwa 20 Prozent der globalen Wirtschaftsleistung sowie 30 Prozent des jährlichen globalen BIP-Wachstums. Seit 2002 ist die Marktkapitalisierung des chinesischen Aktienmarktes um das Fünfundzwanzigfache gestiegen und entspricht heute nahezu elf Prozent der weltweiten Aktienmarktkapitalisierung. Der Markt für handelbare chinesische Schuldverschreibungen ist im gleichen Zeitraum von 200 Milliarden US-Dollar auf 16 Billionen gewachsen. Der chinesische Renminbi hat sich stand 2019 zur weltweit achtmeist gehandelten Währung entwickelt. Mit Blick auf die Investitionstätigkeit vieler global orientiertrn Anleger wird jedoch deutlich, dass Chinas Finanzmärkte nach wie vor bestenfalls wenig berücksichtigt werden. Oft zitierte Gründe sind ein unzureichendes Verständnis der Anlagechancen, die Marktkomplexität oder das strikte Festhalten an globalen Vergleichsindizes, in denen China immer noch deutlich unterrepräsentiert ist. Für chinesische Aktien und Anleihen erwarte ich über die kommenden Jahre eine bessere Entwicklung im Vergleich zu anderen Märkten. Denn China ist der Ursprung für einige der überzeugendsten globalen Wachstumschancen. Das Land ist darauf ausgerichtet, sich technologisch unabhängig zu machen. So wachsen Forschungs- und Entwicklungsausgaben doppelt so schnell wie in den  . Zudem beheimatet China den größten Bestand an Supercomputern und Industrierobotern.  Darüber hinaus hat sich die chinesische Regierung zum Ziel gesetzt, bis 2060 CO2-neutral zu werden. Dies soll vor allem durch eine intelligentere Infrastruktur und die Führungsrolle im Bereich der Batteriezellentechnologien für Elektrofahrzeuge ermöglicht werden. Und wenn es um digitale Disruption in der Einzelhandels- und Finanzindustrie geht, steht China an erster Stelle. China macht 57 Prozent des globalen Marktes für Onlinehandel aus. Dies ist auch einer der Gründe, warum das Land führend in der Transformation zu einer bargeldlosen Gesellschaft ist. Die schnell wachsende Zahl an großen und erfolgreichen Technologieunternehmen ist nur ein Beweis für diese Entwicklung. Die Einbeziehung chinesischer Vermögenswerte in ein globales Portfolio bietet Diversifikationsvorteile. Vor allem aufgrund der binnenwirtschaftlich orientierten Wirtschafts- und Geldpolitik. Diese führt zu Wirtschafts- und Zinszyklen, die von denen außerhalb Chinas abweichen können. Entsprechend weisen chinesische Aktien und Anleihen relativ niedrige Korrelationen zu globalen Vergleichsindizes auf. Beispielsweise zeigt der MSCI China Onshore-Index eine langfristige Korrelation zum MSCI All Country World Index von 50 Prozent auf. Wenig überraschend liegt die Korrelation des US-Aktienmarktes zum globalen Vergleichsindex bei 97 Prozent. Ein ähnliches Bild zeigt sich bei chinesischen Staatsanleihen: Die Korrelation zu länger laufenden US-Staatsanleihen liegt bei 20 Prozent. Investitionen in China bergen Risiken, einschließlich regulatorischer, geopolitscher und makroökonomischer Natur. Die kartellrechtliche Regulierung im Technologiesektor war bisher eher bedacht, könnte aber für chinesische Internetplattformen strenger werden. Das Risiko in Bezug auf die Aufhebung der US-Börsenzulassung für chinesische Unternehmen hat zugenommen, aber ich gehe davon aus, dass durch vermehrte Börsengänge chinesischer Unternehmen näher am Heimatmarkt und ein starkes Investoreninteresse in China mögliche Auswirkungen begrenzt werden.  Die Spannungen mit den USA werden wohl auch unter der neuen US-Administration anhalten. Jedoch sollte sich die Form der Diskussionen als deutlich weniger erratisch erweisen. Die beiden Länder dürften allgemein über die nächsten Jahre unterschiedliche wirtschaftliche und technologische Modelle verfolgen, die parallel, jedoch zeitweise in Zusammenarbeit und zu anderen Zeiten in Konkurrenz zueinander agieren. Zu den längerfristigen wirtschaftlichen Risiken gehören der Anstieg der Schuldenquote um 100 Prozent in den vergangenen zehn Jahren und die schrumpfende Bevölkerung im erwerbsfähigen Alter. Doch Chinas politische Entscheidungsträger haben immer wieder gezeigt, dass sie über umfangreiche Instrumente verfügen, um solche Risiken zu mindern. USA",wirtschaftswoche
